"","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","sample_id","link","dna","karyo","rna","iPSC2","seq"
"1","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR193 son of TOR18+TOR16","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A3",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_1",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH19-05277-IA","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A6",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_2","Calotriton arnoldi (iucnredlist.org)",FALSE,FALSE,FALSE,FALSE,FALSE
"3","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A17",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_3","Taxonomy browser (Calotriton arnoldi) (nih.gov)",FALSE,FALSE,FALSE,FALSE,FALSE
"4","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A28",NA,NA,"ORGONE_10_2","CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_4",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR192, Any 2012, male","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A83",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_5",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A188",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_6",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A220",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_7",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A285",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_8",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A364",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Cal_Arn_9",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","MIG12-30088849","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A41",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Amb_Mex","Amb_Mex_1","https://www.iucnredlist.org/species/1095/53947343",FALSE,FALSE,FALSE,FALSE,FALSE
