Rangifer tarandus
Canis lupus
Hexaprotodon liberiensis
Lemur catta
Panthera tigris
Ailuropoda melanoleuca
Bos grunniens
Camelus bactrianus
Cercopithecus neglectus
Crocuta crocuta
Delphinapterus leucas
Dolichotis patagonum
Hydrochoerus hydrochaeris
Hylobates pileatus
Hystrix cristata
Megaptera novaeangliae
Mungos mungo
Oryx gazella
Panthera pardus
Panthera pardus
Petrogale xanthopus
Procavia capensis
Tragelaphus eurycerus
Tursiops truncatus
Ursus thibetanus
Zalophus californianus
Capra hircus
Eulemur fulvus
Mandrillus sphinx
Oryx dammah
Osphranter rufus
Panthera onca
Suricata suricatta
Aepyceros melampus
Elaphurus davidianus
Ammotragus lervia
Mandrillus leucophaeus
Saguinus imperator
Ailurus fulgens
Phacochoerus africanus
Ateles hybridus
Pan troglodytes
