"","scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","family","class","order","genome_match","species_genome","divergence_mya_adj","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","orders_num","alternative_name_","selected","top20"
"1","Procavia capensis","Procavia capensis",NA,NA,NA,"LEAST CONCERN",1,"F","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Procavia_capensis","9813","Hyrax capensis","mProCap","Procavia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN02894304",905827,NA,35792,NA,2014-12-16,93.1,NA,16743,4.05859375,3970679999,NA,NA,54,27,2,"PRJNA13972;PRJNA167910;ZOONOMIA",NA,"published",NA,NA,NA,NA,"Hyrax",9813,"proCap1","-","Projection build","-","-","Rock hyrax","Procaviidae","Mammalia","Hyracoidea","species","Procavia capensis",0,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,1,"Both",1,1,NA,"selected","selected"
"2","Equus quagga","Equus quagga",NA,NA,"II?","NEAR THREATENED",2,"tigris","Fibro","X","X","X","X",NA,NA,"Equus quagga chapmani","Equus_quagga","89248","Equus burchellii quagga",NA,"Equus","Chordata","Metazoa","Eukaryota","Chromosome","SAMN06718192;SAMN16526506",122556673,NA,427941,27599,2022-01-31,NA,NA,16506,3.560546875,3481680000,NA,NA,44,22,2,"PRJNA382745;PRJNA785630",NA,"insdc_open","plains zebra","GCF_021613505.1-RS_2023_03",2023-03-03,2023-03-05,NA,NA,NA,NA,NA,NA,NA,NA,"Equidae","Mammalia","Perissodactyla","species","Equus quagga",0,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,4,"Both",1,1,"Equus_quagga chapmani","selected","selected"
"3","Dolichotis patagonum","Dolichotis patagonum",NA,"Dolichotinae","-","NEAR THREATENED",3,"F/M/-","Fibro","X","X",NA,NA,NA,"Tissue",NA,"Dolichotis_patagonum","29091","Dolichotis patagonum","mDolPat","Dolichotis","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678081",31026,NA,27983,NA,2019-01-16,72.6,NA,16741,3.69921875,3618600000,NA,NA,64,32,2,"EBP;PRJNA399391;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patagonian mara,Patagonian cavy","Caviidae","Mammalia","Rodentia","species","Dolichotis patagonum",0,NA,TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,6,"Both",1,1,NA,"selected","selected"
"4","Hystrix cristata","Hystrix cristata",NA,NA,"-","LEAST CONCERN",1,"F/M","Fibro",NA,"x",NA,NA,NA,"Tissue","Hystrix","Hystrix_cristata","10137","Hystrix cristata","mHysCri","Hystrix","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678090",64768,NA,57102,NA,2019-01-16,NA,NA,16822,3.689453125,3663832500,NA,NA,48,24,2,"EBP;PRJNA399401;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short-tailed porcupine,crested porcupine","Hystricidae","Mammalia","Rodentia","species","Hystrix cristata",0,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,6,"Both",1,1,"Hystrix","selected","selected"
"5","Panthera leo","Panthera leo",NA,"Pantherinae","II","VULNERABLE",9,"F/M/F/F/F/F/F","Fibro","X","X","X","X",NA,"blood",NA,"Panthera_leo","9689","Felis imperialis","mPanLeo","Panthera","Chordata","Metazoa","Eukaryota","Chromosome","SAMN12375718;SAMN14446495;SAMN17054329",147402474,NA,77781637,32109,2021-05-13,NA,NA,16620,2.94921875,2885100000,NA,NA,38,19,2,"PRJNA556895;PRJNA615082;PRJNA684340;PRJNA747255",NA,"insdc_open","lion","100.0",2021-08-06,2021-08-11,"Lion",9689,"PanLeo1.0","GCA_008795835.1","Full genebuild","-","-","Lion,African lion","Felidae","Mammalia","Carnivora","species","Panthera leo",0,NA,TRUE,TRUE,TRUE,8,8,8,0,0,TRUE,19,"Both",1,1,NA,"selected","selected"
"6","Canis lupus","Canis lupus",NA,NA,"II","LEAST CONCERN",4,"M/F/F/F","Fibro",NA,"X","X","X",NA,"Tissue/Blood",NA,"Canis_lupus","9612","Canis petrolei","mCanLup","Canis","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA7532739;SAMN01737209;SAMN02953603;SAMN03004377;SAMN03366711;SAMN04851098;SAMN07678141;SAMN09397198;SAMN10180180;SAMN10180181;SAMN10749847;SAMN12574852;SAMN13230619;SAMN14279123;SAMN14380863;SAMN14395261;SAMN14478636",65778685,NA,34375412,NA,2023-04-03,95.5,NA,16729,2.810546875,2748180000,NA,NA,78,39,2,"DTOL;EBP;ERGA;PRJEB43199;PRJEB43200;PRJEB43409;PRJNA10628;PRJNA13179;PRJNA176193;PRJNA318403;PRJNA399441;PRJNA475652;PRJNA494426;PRJNA512874;PRJNA540662;PRJNA541172;PRJNA560310;PRJNA587469;PRJNA610230;PRJNA610232;PRJNA610592;PRJNA612738;PRJNA613141;PRJNA615959;VGP;ZOONOMIA",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iberian Wolf,Timber wolf","Canidae","Mammalia","Carnivora","species","Canis lupus",0,NA,TRUE,TRUE,TRUE,4,4,4,0,0,TRUE,19,"Both",1,1,NA,"selected","selected"
"7","Otaria byronia","Otaria byronia",NA,NA,"-","LEAST CONCERN",3,"F/F/F","Fibro","X","X",NA,NA,NA,"Tissue",NA,"Otaria_byronia","161932","Phoca flavescens","mOtaByr","Otaria","Chordata","Metazoa","Eukaryota","Scaffold","CNS0152185",144693000,NA,NA,NA,2023-04-03,NA,NA,16643,3.150390625,3080700000,NA,NA,36,18,2,NA,NA,"open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South American Sea Lion,South American sea lion","Otariidae","Mammalia","Carnivora","species","Otaria byronia",0,NA,FALSE,TRUE,FALSE,3,3,3,0,0,TRUE,19,"Both",1,1,NA,"selected","selected"
"8","Suricata suricatta","Suricata suricatta",NA,NA,"-","LEAST CONCERN",4,"F/F/M/-","Fibro","X","X",NA,NA,NA,"Tissue",NA,"Suricata_suricatta","37032","Viverra suricata","mSurSur","Suricata","Chordata","Metazoa","Eukaryota","Chromosome","SAMN07678040;SAMN11840572",141453419,NA,75409,35499,2019-07-03,NA,NA,16914,2.8046875,2738400000,NA,NA,36,18,2,"EBP;PRJNA399357;PRJNA540846;ZOONOMIA",NA,"published","meerkat","100.0",2019-07-11,2019-07-15,"Meerkat",37032,"meerkat_22Aug2017_6uvM2_HiC","GCA_006229205.1","Full genebuild","-","-","Meerkat,meerkat","Herpestidae","Mammalia","Carnivora","species","Suricata suricatta",0,NA,TRUE,TRUE,TRUE,4,2,2,0,0,TRUE,19,"Both",1,1,NA,"selected","selected"
"9","Ateles hybridus","Ateles hybridus",NA,"Atelinae","II","CRITICALLY ENDANGERED",8,"F/F/F/M/F/U/M/U","Fibro","X","X",NA,"X","X","Tissue/placenta",NA,"Ateles_hybridus","129801","Ateles hybridus brunneus","mAteHyb","Ateles","Chordata","Metazoa","Eukaryota","Scaffold","SAMEA8994840",50515269,NA,50515269,NA,2021-09-22,NA,NA,16560,3.23828125,3166275000,NA,NA,34,17,2,"PRJEB46485",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brown Spider Monkey,brown spider monkey","Atelidae","Mammalia","Primates","species","Ateles hybridus",0,NA,FALSE,TRUE,FALSE,8,7,6,0,1,TRUE,23,"Both",1,1,NA,"selected","selected"
"10","Saguinus imperator subgrisescens","Saguinus imperator","subgrisescens","Callitrichinae","II","LEAST CONCERN",3,"M/M/F","Fibro","X","X",NA,"x",NA,"Tissue",NA,"Saguinus_imperator","9491","Saguinus imperator","mSagImp","Saguinus","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678110",65636,NA,53787,NA,2019-01-15,NA,NA,16505,3.455078125,3378990000,NA,NA,46,23,2,"EBP;PRJNA399417;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bearded Emperor Tamarin,tamarin","Cebidae","Mammalia","Primates","species","Saguinus imperator",0,NA,FALSE,TRUE,FALSE,3,3,3,0,0,TRUE,23,"Both",1,1,NA,"selected","selected"
