"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","family","order","class","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","genome_match","species_genome","divergence_mya_adj","...31","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2","selected"
"Pleurodeles waltl","Pleurodeles waltl",NA,NA,NA,"NEAR THREATENED",2,"U","Amphibia","Fibro",NA,"X",NA,NA,NA,"larvae/Trachea",NA,"Pleurodeles_waltl","8319","Pleurodeles waltl","aPleWal","Pleurodeles","Salamandridae","Caudata","Amphibia","Chordata","Metazoa","Eukaryota","Chromosome","SAMN28911188",1237754594,NA,45590032,13359,"2022-12-05",NA,NA,16299,21.40625,20929200000,NA,NA,24,12,3,"PRJNA847026",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sharp-ribbed Salamander,Spanish ribbed newt","species","Pleurodeles waltl",1e-4,NA,NA,FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Jacana jacana","Jacana jacana",NA,NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea",NA,"Jacana_jacana","54508","Jacana jacana","bJacJac","Jacana","Jacanidae","Charadriiformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","CNS0103134;SAMN12253869",126631,NA,31221,14651,"2020-07-10",NA,NA,16975,1.5048828125,1418100000,NA,NA,82,41,2,"B10K;EBP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wattled jacana,wattled jacana","species","Jacana jacana",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Ciconia ciconia","Ciconia ciconia",NA,NA,"II","LEAST CONCERN",3,"U/U/U","Birds","Fibro","X","X",NA,NA,NA,"Tissue",NA,"Ciconia_ciconia","8928","Ciconia ciconia","bCicCic","Ciconia","Ciconiidae","Ciconiiformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN14525853",84601090,NA,31371,NA,"2023-01-06",NA,NA,17347,1.580078125,1545240000,NA,NA,68,34,2,"PRJNA622725",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White stork,White Stork","species","Ciconia ciconia",1e-4,NA,NA,FALSE,TRUE,FALSE,3,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",TRUE
"Colius striatus","Colius striatus",NA,NA,"-","LEAST CONCERN",2,"U/M","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea",NA,"Colius_striatus","57412","Colius striatus","bColStr","Colius","Coliidae","Coliiformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN02324230;SAMN33339572",46063,NA,25860,15163,"2014-05-13",83.7,NA,17283,1.4697265625,1437660000,NA,NA,80,38,2,"EBP;PRJNA212892;PRJNA936149;PRJNA936150;PRJNA938129;VGP",NA,"insdc_open","speckled mousebird","100.0","2014/11/06 00:00:00","2014/11/07 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Speckled Mousebird,speckled mousebird","species","Colius striatus",1e-4,NA,NA,FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Rhea americana","Rhea americana",NA,NA,"II","NEAR THREATENED",1,"F","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea/Skin",NA,"Rhea_americana","8797","Rhea americana","bRheAme","Rhea","Rheidae","Rheiformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN08476460",3949999,NA,88762,NA,"2018-07-26",96.9,NA,16714,1.58984375,1555020000,NA,NA,42,28,2,"PRJNA433110",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greater rhea,greater rhea","species","Rhea americana",1e-4,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Apus apus","Apus apus",NA,NA,"?","LEAST CONCERN",1,NA,"Birds","Fibro",NA,NA,NA,NA,NA,NA,NA,"Apus_apus","8895","Apus apus","bApuApu","Apus","Apodidae","Apodiformes","Aves","Chordata","Metazoa","Eukaryota","Chromosome","SAMN22785356",115508478,NA,25561769,16724,"2021-11-04",NA,NA,17037,1.2802734375,1251840000,NA,NA,78,39,2,"EBP;PRJNA489244;PRJNA776336;PRJNA776337;PRJNA776865;VGP",NA,"insdc_open","common swift","GCF_020740795.1-RS_2023_02","2023/02/26 00:00:00","2023/02/26 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Common swift,Common Swift","species","Apus apus",1e-4,NA,NA,FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,1,"Both",1,1,1,"Other",TRUE
"Spheniscus demersus","Spheniscus demersus",NA,NA,"II","ENDANGERED",3,"M/F/F","Birds","Fibro",NA,"X",NA,NA,NA,"Tissue",NA,"Spheniscus_demersus","92683","Spheniscus demersus","bSphDem","Spheniscus","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","CNS0106312;SAMN12384881",15386364,NA,109372,15881,"2020-01-31",96,NA,17346,1.6298828125,1594140000,NA,NA,74,36,2,"PRJNA556735",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jackass penguin","species","Spheniscus demersus",1e-4,NA,NA,FALSE,TRUE,TRUE,3,2,2,0,0,TRUE,2,"Both",1,2,2,"Other",FALSE
"Spheniscus humboldti","Spheniscus humboldti",NA,NA,"I","VULNERABLE",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Spheniscus_humboldti","9240","Spheniscus humboldti","bSphHub","Spheniscus","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa","Eukaryota","Chromosome","CNS0106314;SAMD00222501;SAMN06701108;SAMN06701109;SAMN12384883;SAMN28408465",89079306,NA,13936613,16378,"2022-12-28",97.5,NA,16658,1.6298828125,1594140000,NA,NA,78,39,2,"EBP;PRJDB9715;PRJNA382168;PRJNA489244;PRJNA556735;PRJNA838343;PRJNA838344;PRJNA922133;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Humboldt penguin,Humboldt's penguin","species","Spheniscus humboldti",1e-4,NA,NA,FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",TRUE
"Casuarius casuarius","Casuarius casuarius",NA,NA,NA,"LEAST CONCERN",1,"M","Birds","No cell line",NA,NA,NA,NA,NA,"Trachea/Skin",NA,"Casuarius_casuarius","8787","Casuarius casurius","bCasCas","Casuarius","Casuariidae","Casuariiformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","CNS0103014;SAMN08476455;SAMN12253744",3704890,NA,165721,15110,"2018-07-26",NA,NA,16756,1.58984375,1555020000,NA,NA,92,46,2,"B10K;EBP;PRJNA433110",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern cassowary,southern cassowary","species","Casuarius casuarius",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Ramphastos toco","Ramphastos toco",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,NA,NA,"Tissue",NA,"Ramphastos_toco","322582","Ramphastos toco","bRamSul","Ramphastos","Ramphastidae","Piciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","CNS0103054;SAMN12253788",85980,NA,38620,15325,"2020-07-10",86.5,NA,18736,1.6845703125,1647930000,NA,NA,106,51,2,"B10K;EBP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toco toucan","genus","Ramphastos sulfuratus",4.79,NA,"species",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
