"scientific_name","iucn_category","superclass","class","genus","individuals","fibro","tissue_of_origin","assembly_level","scaffold_n50","genome_size","genome_match","selected"
"Pleurodeles waltl","NEAR THREATENED","Amphibia","Amphibia","Pleurodeles",2,1,"larvae/Trachea","Chromosome",1237754594,20929200000,"species",FALSE
"Jacana jacana","LEAST CONCERN","Birds","Aves","Jacana",1,1,"Trachea","Scaffold",126631,1418100000,"species",FALSE
"Ciconia ciconia","LEAST CONCERN","Birds","Aves","Ciconia",3,1,"Tissue","Scaffold",84601090,1545240000,"species",TRUE
"Colius striatus","LEAST CONCERN","Birds","Aves","Colius",2,1,"Trachea","Scaffold",46063,1437660000,"species",FALSE
"Rhea americana","NEAR THREATENED","Birds","Aves","Rhea",1,1,"Trachea/Skin","Scaffold",3949999,1555020000,"species",FALSE
"Apus apus","LEAST CONCERN","Birds","Aves","Apus",1,1,NA,"Chromosome",115508478,1251840000,"species",TRUE
"Spheniscus demersus","ENDANGERED","Birds","Aves","Spheniscus",3,2,"Tissue","Scaffold",15386364,1594140000,"species",FALSE
"Spheniscus humboldti","VULNERABLE","Birds","Aves","Spheniscus",1,1,"Tissue","Chromosome",89079306,1594140000,"species",TRUE
"Casuarius casuarius","LEAST CONCERN","Birds","Aves","Casuarius",1,1,"Trachea/Skin","Scaffold",3704890,1555020000,"species",FALSE
"Ramphastos toco","LEAST CONCERN","Birds","Aves","Ramphastos",1,1,"Tissue","Scaffold",85980,1647930000,"genus",FALSE
"Haliaeetus leucocephalus","LEAST CONCERN","Birds","Aves","Haliaeetus",1,1,"Tissue","Scaffold",9145499,1398540000,"species",FALSE
"Gallus gallus domestic","LEAST CONCERN","Birds","Aves","Gallus",1,1,"Tissue","Chromosome",90861225,1237170000,"species",TRUE
"Pavo cristatus","LEAST CONCERN","Birds","Aves","Pavo",1,2,"Trachea/Skin","Scaffold",11421185,1310520000,"species",FALSE
"Psophia crepitans","NEAR THREATENED","Birds","Aves","Psophia",1,1,"Tissue","Scaffold",468890,1388760000,"species",FALSE
"Tyto alba","LEAST CONCERN","Birds","Aves","Tyto",1,1,"Tissue","Scaffold",36032128,1594140000,"species",TRUE
"Lophura edwardsi","CRITICALLY ENDANGERED","Birds","Aves","Lophura",1,1,"Trachea","Chromosome",61385513,1237170000,"genus",TRUE
"Chauna torquata","LEAST CONCERN","Birds","Aves","Chauna",1,1,"Trachea","Scaffold",232486,1364310000,"species",FALSE
"Cygnus atratus","LEAST CONCERN","Birds","Aves","Cygnus",1,1,"Trachea/Tissue","Chromosome",84552148,1418100000,"species",TRUE
"Nycticorax nycticorax","LEAST CONCERN","Birds","Aves","Nycticorax",6,2,"Tissue","Scaffold",3016563,1320300000,"species",FALSE
