taxon_id	taxon_rank	scientific_name	synonym	tolid_prefix	common_name	subspecies	species	genus	family	order	class	phylum	kingdom	c_value	genome_size	genome_size_kmer	genome_size_draft	contig_n50	gene_count	assembly_date	assembly_level	assembly_span	biosample	scaffold_n50	busco_completeness	mitochondrion_assembly_span	chromosome_number	haploid_number	ploidy	insdc_open	published	sequencing_status	data_generation	in_assembly
1932030	species	Myxine fernholmi	["Myxine fernholmi"]	["kmMyxFern"]			Myxine fernholmi	Myxine	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	4.44140625	4342320000					2023-04-03		3057504053					14	7	2					
2558213	species	Myxine garmani	["Myxine garmani"]	["kmMyxGarm"]	["Hagfish"]		Myxine garmani	Myxine	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	4.58984375	4489020000							3057504053					14	7	2					
7769	species	Myxine glutinosa	["Myxine glutinosa australis"]	["kmMyxGlut"]	["Hagfish"]		Myxine glutinosa	Myxine	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	4.2890625	4195620000			739991		2024-06-18	Chromosome	3057504053	SAMEA12790223;SAMN41069696	192170830			28	25	2			in_progress		
78394	species	Eptatretus cirrhatus	["Eptatretus cirrhatus"]	["kmEptCirr"]	["Hagfish"]		Eptatretus cirrhatus	Eptatretus	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	2.2890625	2239620000							1888650646					34	17	2					
7767	species	Eptatretus okinoseanus	["Eptatretus okinoseanus"]	["kmEptOkin"]	["Hagfish"]		Eptatretus okinoseanus	Eptatretus	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	2.6796875	2621040000			2770831		2024-08-13	Chromosome	1888650646	SAMN37519549	110357792			34	17	2					
7765	species	Eptatretus stoutii	["Bdellostoma stouti"]	["kmEptStou"]	["Pacific hagfish"]		Eptatretus stoutii	Eptatretus	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	2.73046875	2669940000							1888650646					48	24	2					
7764	species	Eptatretus burgeri	["Eptatretus burgeri"]	["kmEptBurg"]	["Inshore hagfish"]		Eptatretus burgeri	Eptatretus	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	2.98046875	2914440000			16240		2022-07-09	Scaffold	1717495240	SAMD00226236;SAMEA104124530	292765	49.800000000000004		36	18	2			insdc_open		
50612	species	Eptatretus atami	["Eptatretus atami"]	["kmEptAtam"]	["Brown hagfish"]		Eptatretus atami	Eptatretus	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	3.4609375	3383880000			12689		2024-01-09	Chromosome	2517612418	SAMN34122694	147609921			34	17	2			insdc_open		
71168	species	Geotria australis	["Petromyzon fonki"]	["kcGeoAust"]	["Pouched lamprey"]		Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	1.5400390625	1506120000			11576		2024-02-05	Scaffold	559983274	SAMN31627798;SAMN37887663	8712808			178	89	2			insdc_open		
980415	species	Lethenteron camtschaticum	["Entospheneus lamottei japonicus"]	["kcLetCamt"]	["Arctic lamprey"]		Lethenteron camtschaticum	Lethenteron	Petromyzontidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	1.400390625	1369200000			1601692		2021-06-21	Scaffold	1074727531	SAMN02981514	10784473	61.1		166	83	2			insdc_open		
7753	species	Lethenteron reissneri	["Entosphenus reissneri"]	["kcLetReis"]	["Far Eastern brook lamprey"]		Lethenteron reissneri	Lethenteron	Petromyzontidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	1.400390625	1369200000			1412731	24131	2020-12-01	Chromosome	1063012140	SAMN12436412	13487809	57		166	83	2			insdc_open		
104630	species	Lethenteron appendix	["Lethenteron appendix"]	["kcLamAppe"]	["American brook lamprey"]		Lethenteron appendix	Lethenteron	Petromyzontidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa	1.400390625	1369200000					2023-04-03		1068869835					166	83	2					
