"scientific_name","species","iucn_category","individuals","superclass","taxon_id","synonym","tol_id","genus","family","order","class","zoonomia","taxon_rank","genome","cell_lines","nspecies","assembly_level","genome_size","illumina","silencer"
"Chlamydosaurus kingii","Chlamydosaurus kingii","LEAST CONCERN",1,"Reptil",NA,"Chlamydosaurus kingi",NA,"Chlamydosaurus","Agamidae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,TRUE,FALSE
"Bucorvus leadbeateri","Bucorvus leadbeateri","VULNERABLE",1,"Birds",NA,"Bucorvus leadbeateri",NA,"Bucorvus","Bucorvidae","Bucerotiformes","Aves",FALSE,NA,FALSE,1,1,"No Genome",NA,TRUE,FALSE
"Chamaeleo chamaeleon","Chamaeleo chamaeleon","LEAST CONCERN",1,"Reptil",NA,"Cameleo siculus",NA,"Chamaeleo","Chamaeleonidae","Squamata","Lepidosauria",FALSE,NA,FALSE,1,13,"No Genome",NA,TRUE,FALSE
"Gallicolumba luzonica","Gallicolumba luzonica","NEAR THREATENED",3,"Birds",NA,"Gallicolumba luzonica",NA,"Gallicolumba","Columbidae","Columbiformes","Aves",FALSE,NA,FALSE,1,7,"No Genome",NA,TRUE,FALSE
"Crocodylus rhombifer","Crocodylus rhombifer","CRITICALLY ENDANGERED",1,"Reptil",NA,"Crocodilus gravesii",NA,"Crocodylus","Crocodylidae","Crocodylia",NA,FALSE,NA,FALSE,1,3,"No Genome",NA,TRUE,FALSE
"Osteolaemus tetraspis","Osteolaemus tetraspis","VULNERABLE",1,"Reptil",NA,"Osteolaemus tetraspis",NA,"Osteolaemus","Crocodylidae","Crocodylia",NA,FALSE,NA,FALSE,1,3,"No Genome",NA,TRUE,FALSE
"Graptemys pseudogeographica","Graptemys pseudogeographica","LEAST CONCERN",1,"Reptil",NA,"Emys lesueurii",NA,"Graptemys","Emydidae","Testudines",NA,FALSE,NA,FALSE,1,8,"No Genome",NA,TRUE,FALSE
"Eliomys quercinus","Eliomys quercinus","NEAR THREATENED",1,"Mammalia",NA,"Eliomys quercinus dichrurus",NA,"Eliomys","Gliridae","Rodentia","Mammalia",FALSE,NA,FALSE,1,6,"No Genome",NA,TRUE,FALSE
"Notamacropus rufogriseus","Notamacropus rufogriseus","LEAST CONCERN",7,"Mammalia",NA,"Notamacropus rufogriseus",NA,"Notamacropus","Macropodidae","Diprotodontia","Mammalia",FALSE,NA,FALSE,5,3,"No Genome",NA,TRUE,FALSE
"Musophaga violacea","Musophaga violacea","LEAST CONCERN",1,"Birds",NA,"Musophaga violacea",NA,"Musophaga","Musophagidae","Musophagiformes","Aves",FALSE,NA,FALSE,0,3,"No Genome",NA,TRUE,FALSE
"Pteropus lylei","Pteropus lylei","VULNERABLE",3,"Mammalia",NA,"Pteropus lylei",NA,"Pteropus","Pteropodidae","Chiroptera","Mammalia",FALSE,NA,FALSE,3,2,"No Genome",NA,TRUE,FALSE
"Cynomys ludovicianus","Cynomys ludovicianus","LEAST CONCERN",1,"Mammalia",NA,"Cynomys pyrrotrichus",NA,"Cynomys","Sciuridae","Rodentia","Mammalia",FALSE,NA,FALSE,1,6,"No Genome",NA,TRUE,FALSE
"Otus scops scops","Otus scops","LEAST CONCERN",2,"Birds",NA,"Otus scops",NA,"Otus","Strigidae","Strigiformes","Aves",FALSE,NA,FALSE,0,4,"No Genome",NA,TRUE,FALSE
"Scissirostrum dubium","Scissirostrum dubium","LEAST CONCERN",3,"Birds",NA,"Scissirostrum dubium",NA,"Scissirostrum","Sturnidae","Passeriformes","Aves",FALSE,NA,FALSE,1,9,"No Genome",NA,TRUE,FALSE
"Dracaena guianensis","Dracaena guianensis","LEAST CONCERN",1,"Reptil",NA,"Dracaena guianensis",NA,"Dracaena","Teiidae","Squamata","Lepidosauria",FALSE,NA,FALSE,1,13,"No Genome",NA,TRUE,FALSE
"Varanus albigularis","Varanus albigularis","LEAST CONCERN",1,"Reptil",NA,"Varanus gilli",NA,"Varanus","Varanidae","Squamata","Lepidosauria",FALSE,NA,FALSE,1,13,"No Genome",NA,TRUE,FALSE
"Varanus prasinus","Varanus prasinus","LEAST CONCERN",1,"Reptil",NA,"Varanus prasinus",NA,"Varanus","Varanidae","Squamata","Lepidosauria",FALSE,NA,FALSE,0,13,"No Genome",NA,TRUE,FALSE
"Pleurodeles waltl","Pleurodeles waltl","NEAR THREATENED",2,"Amphibia","8319","Pleurodeles waltl","aPleWal","Pleurodeles","Salamandridae","Caudata","Amphibia",FALSE,NA,TRUE,1,3,"Chromosome",20929200000,TRUE,FALSE
"Jacana jacana","Jacana jacana","LEAST CONCERN",1,"Birds","54508","Jacana jacana","bJacJac","Jacana","Jacanidae","Charadriiformes","Aves",FALSE,NA,TRUE,1,1,"Scaffold",1418100000,TRUE,FALSE
"Ciconia ciconia","Ciconia ciconia","LEAST CONCERN",3,"Birds","8928","Ciconia ciconia","bCicCic","Ciconia","Ciconiidae","Ciconiiformes","Aves",FALSE,NA,TRUE,1,1,"Scaffold",1545240000,TRUE,FALSE
"Colius striatus","Colius striatus","LEAST CONCERN",2,"Birds","57412","Colius striatus","bColStr","Colius","Coliidae","Coliiformes","Aves",FALSE,NA,TRUE,1,1,"Scaffold",1437660000,TRUE,FALSE
"Rhea americana","Rhea americana","NEAR THREATENED",1,"Birds","8797","Rhea americana","bRheAme","Rhea","Rheidae","Rheiformes","Aves",FALSE,NA,TRUE,1,1,"Scaffold",1555020000,TRUE,FALSE
"Apus apus","Apus apus","LEAST CONCERN",1,"Birds","8895","Apus apus","bApuApu","Apus","Apodidae","Apodiformes","Aves",FALSE,NA,TRUE,0,2,"Chromosome",1251840000,TRUE,FALSE
"Spheniscus demersus","Spheniscus demersus","ENDANGERED",3,"Birds","92683","Spheniscus demersus","bSphDem","Spheniscus","Spheniscidae","Sphenisciformes","Aves",FALSE,NA,TRUE,2,2,"Scaffold",1594140000,TRUE,FALSE
"Spheniscus humboldti","Spheniscus humboldti","VULNERABLE",1,"Birds","9240","Spheniscus humboldti","bSphHub","Spheniscus","Spheniscidae","Sphenisciformes","Aves",FALSE,NA,TRUE,1,2,"Chromosome",1594140000,TRUE,FALSE
"Casuarius casuarius","Casuarius casuarius","LEAST CONCERN",1,"Birds","8787","Casuarius casurius","bCasCas","Casuarius","Casuariidae","Casuariiformes","Aves",FALSE,NA,TRUE,1,2,"Scaffold",1555020000,TRUE,FALSE
"Ramphastos toco","Ramphastos toco","LEAST CONCERN",1,"Birds","322582","Ramphastos toco","bRamSul","Ramphastos","Ramphastidae","Piciformes","Aves",FALSE,"species",TRUE,1,2,"Scaffold",1647930000,TRUE,FALSE
"Haliaeetus leucocephalus","Haliaeetus leucocephalus","LEAST CONCERN",1,"Birds","52644","Haliaeetus leucocephalus","bHalLeo","Haliaeetus","Accipitridae","Accipitriformes","Aves",FALSE,NA,TRUE,1,3,"Scaffold",1398540000,TRUE,FALSE
"Gallus gallus domestic","Gallus gallus","LEAST CONCERN",1,"Birds","9031","red junglefowl","bGalGal","Gallus","Phasianidae","Galliformes","Aves",FALSE,NA,TRUE,1,4,"Chromosome",1237170000,TRUE,FALSE
"Pavo cristatus","Pavo cristatus","LEAST CONCERN",1,"Birds","9049","Pavo cristatus","bPavCri","Pavo","Phasianidae","Galliformes","Aves",FALSE,NA,TRUE,2,4,"Scaffold",1310520000,TRUE,FALSE
"Psophia crepitans","Psophia crepitans","NEAR THREATENED",1,"Birds","54359","Psophia crepitans","bPsoCre","Psophia","Psophiidae","Gruiformes","Aves",FALSE,NA,TRUE,0,4,"Scaffold",1388760000,TRUE,FALSE
"Tyto alba","Tyto alba","LEAST CONCERN",1,"Birds","56313","Tyto alba","bTytAlb","Tyto","Tytonidae","Strigiformes","Aves",FALSE,NA,TRUE,1,4,"Scaffold",1594140000,TRUE,FALSE
"Lophura edwardsi","Lophura edwardsi","CRITICALLY ENDANGERED",1,"Birds","140446","Lophura edwardsi","bLopSwi","Lophura","Phasianidae","Galliformes","Aves",FALSE,"species",TRUE,1,4,"Chromosome",1237170000,TRUE,FALSE
"Polyplectron napoleonis","Polyplectron napoleonis","VULNERABLE",2,"Birds",NA,"Polyplectron napoleonis",NA,"Polyplectron","Phasianidae","Galliformes","Aves",FALSE,NA,FALSE,2,4,"No Genome",NA,FALSE,FALSE
"Chauna torquata","Chauna torquata","LEAST CONCERN",1,"Birds","30388","Chauna torquata","bChaTor","Chauna","Anhimidae","Anseriformes","Aves",FALSE,NA,TRUE,1,7,"Scaffold",1364310000,TRUE,FALSE
"Cygnus atratus","Cygnus atratus","LEAST CONCERN",1,"Birds","8868","Anser novaehollandiae","bCygAtr","Cygnus","Anatidae","Anseriformes","Aves",FALSE,NA,TRUE,1,7,"Chromosome",1418100000,TRUE,FALSE
"Netta rufina","Netta rufina","LEAST CONCERN",1,"Birds",NA,"Netta rufina",NA,"Netta","Anatidae","Anseriformes","Aves",FALSE,NA,FALSE,1,7,"No Genome",NA,FALSE,FALSE
"Cygnus melancoryphus","Cygnus melancoryphus","LEAST CONCERN",1,"Birds",NA,"Cygnus melancorypha",NA,"Cygnus","Anatidae","Anseriformes","Aves",FALSE,NA,FALSE,1,7,"No Genome",NA,FALSE,FALSE
"Streptopelia decaocto","Streptopelia decaocto","LEAST CONCERN",1,"Birds",NA,"Columba decaocto",NA,"Streptopelia","Columbidae","Columbiformes","Aves",FALSE,NA,FALSE,1,7,"No Genome",NA,FALSE,FALSE
"Ptilinopus melanospilus","Ptilinopus melanospilus","NA",1,"Birds",NA,"Ptilinopus melanospila",NA,"Ptilinopus","Columbidae","Columbiformes","Aves",FALSE,NA,FALSE,1,7,"No Genome",NA,FALSE,FALSE
