cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person_in_charge,notes,vials_n2,pellet,micoplasma_test,dna_extr_technician,rna_extr_technician,karyotype
A1,3/10/2019,Western Chimpanzee,Copenaghen ZOO,27717382-CHI003,blood,coagulated,NA,Armida,NA,/,NA,NA,NA,NA,NA
A1,3/10/2019,Western Chimpanzee,Copenaghen ZOO,27717382-CHI003,muscle,dissection directly on plate,NA,Armida/Sira,NA,fibros P1 (4 vials),NA,NEGATIVE @P3,Armida,NA,done
A1,3/10/2019,Western Chimpanzee,Copenaghen ZOO,27717382-CHI003,brain,frozen 4 vials,NA,Armida,NA,P2 (3 vials),NA,NA,NA,NA,NA
A1,3/10/2019,Western Chimpanzee,Copenaghen ZOO,27717382-CHI003,entire ear,dissection directly on plate,NA,Sira,NA,P3 (4 vials),NA,NA,NA,NA,NA
A1,3/10/2019,Western Chimpanzee,Copenaghen ZOO,27717382-CHI003,NA,NA,NA,NA,NA,P4 (5),NA,NA,NA,NA,NA
A2,24/10/2019,Wolf (lobo iberico),BCN ZOO,MIG12-29349207/13451,blood,PBMc isolation,NA,Armida,NA,2 vials,Pellet for DNA,NA,done,NA,done
A2,24/10/2019,Wolf (lobo iberico),BCN ZOO,MIG12-29349207/13451,tissue,dissection directly on plate,NA,Armida,NA,P1(2 vials),Pellet for RNA,NA,NA,NA,NA
A2,24/10/2019,Wolf (lobo iberico),BCN ZOO,MIG12-29349207/13451,NA,NA,NA,NA,NA,P2(2 vials),NA,NA,NA,NA,NA
A2,24/10/2019,Wolf (lobo iberico),BCN ZOO,MIG12-29349207/13451,NA,NA,NA,NA,NA,P3(3 vials),NA,NA,NA,NA,NA
A3,6/11/2019,Calotriton Arnoldi,Torre Ferrusa (UAB),OR193 son of TOR18+TOR16,tongue/head,"frozen, dissection directly on plate",NA,Armida,NA,NA,NA,NA,NA,NA,NA
A3,6/11/2019,Calotriton Arnoldi,Torre Ferrusa (UAB),OR193 son of TOR18+TOR16,tail,"frozen, dissection directly on plate",NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,6/11/2019,Calotriton Arnoldi,Torre Ferrusa (UAB),OR193 son of TOR18+TOR16,skin,dissection directly on plate,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,6/11/2019,Calotriton Arnoldi,Torre Ferrusa (UAB),OR193 son of TOR18+TOR16,trachea,dissection directly on plate,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,6/11/2019,Calotriton Arnoldi,Torre Ferrusa (UAB),OR193 son of TOR18+TOR16,testicles,"frozen, dissection directly on plate",NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,6/11/2019,Calotriton Arnoldi,Torre Ferrusa (UAB),OR193 son of TOR18+TOR16,frozen tail,Liberase,NA,NA,NA,NA,NA,NA,NA,NA,NA
