cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person,fibros,vials_n2,pellet,micoplasma_test,DNA,comment
A386,8/23/2022,Spheniscus humboldti,Zoo Barcelona,MIG12-28033500/BARCELONA / 5029,Traquea,"in culture, 4CT",alphamem complete,sira,si,2P12P0,NA,Negative,NA,NA
A276,2/25/2022,Macropus rufogriseus,BCN zoo,QGH12-00003/11425,skin,"In culture, 1CT",alphamem complete,Silvia,CONTAMINADO,NA,NA,NA,NA,contaminado
A285,3/16/2022,Triton,Zoo Barcelona,---,Tail,in culture,alphamem complete + 1:1000 fungizona + 1:100 ITS 28C,Sira and silvia,CONTAMINADO,Contaminado placa a 28C,NA,NA,NA,contaminado
A293,3/31/2022,Alcaudon (pàjaro)/Lanius senator,Zoo Jerez,CRAS 28/22,traquea,"in culture, 1CT",FBM : alphamem complete,silvia,CONTAMINADO,NA,NA,NA,NA,contaminado
A299,4/14/2022,Penguino,Zoo Barcelona,19146851/ BARCELONA / 4274,skin,"in culture,",FBM,silvia,CONTAMINADO,NA,NA,NA,NA,contaminado
A333,6/3/2022,Gambian giant pouched rat,Bioparco valencia,TLJ15-00688/: BIOPARCVA / V15082,skin,in culture,alphamem complete,silvia,CONTAMINADO,NA,NA,negative,NA,contaminado
A336,6/8/2022,Elefante,NA,NA,"Placenta , cordon","in culture,2CT",alphamem complete,silvia Sira,CONTAMINADO,NA,NA,NA,NA,contaminado
A341,6/14/2022,Reno,Zoo Madrid,NA,Placenta,NA,alphamem complete,Sira,CONTAMINADO,NA,NA,NA,NA,contaminado
A349,6/22/2022,Salmo salar,Aquarium San Sebastian,NA,Aleta,"in culture,0CT",DMEMF12+10%FBS +glut + NEAA +AA +PS (28grados),silvia,CONTAMINADO,NA,NA,NA,NA,NA
A352,6/28/2022,Ambystoma mexicanum,Zoo Barcelona,NA,skin,"in culture,1CT","L15, AMEM, DMEMF12 (37C, 28C and RT)",silvia,CONTAMINADO,NA,NA,NA,NA,NA
A356,7/5/2022,Macrochelys temminckii,Zoo Barcelona,QGH12-00305/BARCELONA/11715,traquea,"in culture,3CT",DMEMF12+10%FBS +glut + NEAA +AA +PS (37grados),Silvia,CONTAMINADO,NA,NA,NA,NA,NA
A358,7/8/2022,Phoenicopterus ruber,Zoo Barcelona,ap22-00215,traquea,"in culture,2CT",FBM : alphamem complete,silvia,CONTAMINADO,NA,NA,NA,NA,NA
A380,8/12/2022,Amazona liliciana,Zoo Barcelona,MIG12-28921127/Barcelona12368,Traquea,in culture 3CT,alphamem complete,silvia,CONTAMINADO,NA,NA,NA,NA,NA
A388,9/5/2022,Agapornis nigrigenis,Zoo Barcelona,DKL-17-04749Barcelona/13256,Traquea,"In culture, 3CT",alphamem complete,silvia,CONTAMINADO,NA,NA,NA,NA,NA
A408,10/5/2022,Triton Oriental,Torrefarrussa,--,Larva,in culture,Medium A and medium D 18 and 28C,Silvia,CONTAMINADO,NA,NA,NA,NA,NA
A409,10/5/2022,Triton Occidental,Torrefarrussa,--,Larva,in culture,Medium A and medium D 18 and 28C,Silvia,CONTAMINADO,NA,NA,NA,NA,NA
A442,2/7/2023,E. encrasicolus,Aquarium San Sebastian,NA,Cuerpo entero,"In culture, liberase and explant, 4CT",L15+20% FBS 28grados,silvia,CONTAMINADO,NA,NA,NA,NA,NA
A443,2/7/2023,Sargocentron diadema,Aquarium San Sebastian,NA,sticks,"In culture, liberase and explant, 2CT",L15+20% FBS 28grados,silvia,CONTAMINADO,NA,NA,NA,NA,NA
A444,2/7/2023,H. abdominalis,Aquarium San Sebastian,NA,cuerpo entero,"In culture, liberase and explant, 2CT",L15+20% FBS 28grados,silvia,CONTAMINADO,NA,NA,NA,NA,NA
A445,2/7/2023,H. reidi,Aquarium San Sebastian,NA,cuerpo entero,"In culture, liberase and explant, 4CT",L15+20% FBS 28grados,silvia,CONTAMINADO,NA,NA,NA,NA,NA
A320,5/17/2022,Azor,Zoo Botánico Jerez,CRAS83/22,Traquea/SKin,"in culture,2CT",FBM : alphamem complete,Silvia,CONTAMINADO HONGOS!!!!!,NA,NA,NA,NA,Ha llegado en un medio amarillo!
A454,4/13/2023,Pleurodeles newt,Zoo Barcelona,QGH23-06328-IA,Traquea,in culture,"Medio A (Amniomax II 5% FBS 1% Pen-Strep-Glut), B (L15: FGM (1:1) 5% FBS 1% Pen-Strep-Glut) and C (40% DMEM GlutaMax 10% FBS 50%Water, 1% Pen-Strep-Glut, 10mM Hepes+ 0,1ng/ml FGF2+EGF) + FBM on gel 28.5C 


",silvia,Medio A B and C contaminados  SI FBM w/o coating,contaminado Hongos,NA,NA,NA,NA
A309,5/10/2022,Hippocampus abdominalis,Aquarium San Sebastian,NA,whole specimen,in culture,L15 + 15% FBS +AA +PS and DMEMF12+20%FBS +AA +PS,Sira,No vials N2,NA,NA,NA,NA,NA
A311,5/10/2022,Engraulis encrasicolus,Aquarium San Sebastian,NA,skin,in culture,L15 + 15% FBS +AA +PS and DMEMF12+20%FBS +AA +PS,Sira,NO success,NO success,NA,NA,NA,no fibros
A313,5/10/2022,Aurelia Aurita,Aquarium San Sebastian,NA,whole,1 CT,--,Silvia,No vials N2,NA,NA,NA,NA,NA
A314,5/11/2022,Panther chameleon,Bioparc Valencia,TLJ22-01287/ BIOPARCVA / C10,skin,in culture,alphamem complete,Silvia,No vials N2,NA,NA,NA,NA,NA
A315,5/11/2022,Elefante,Zoo Barcelona,23537250/BARCELONA/10511,Bocal,in culture,alphamem complete; BEGM medium,sira/silvia,No vials N2,NA,NA,NA,NA,NA
A324,5/20/2022,Ateles hybridus,Zoo Barcelona,QGH22-06076-IA,Placenta/Umbilical Cordon,"in culture,3CT",alphamem complete,Silvia,No vials N2,NA,NA,NA,NA,NA
A328,5/31/2022,Python regius,Zoo Barcelona,17963991 BARCELONA/5619,Traquea,in culture,DMEMF12+10%FBS +glut + NEAA +AA +PS,Silvia,no fibros,NA,NA,NA,NA,no fibros
A334,6/3/2022,Nanger dama,Zoo Barcelona,QGH22-06087,ear,2CT claen,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A335,6/3/2022,Nanger dama,Zoo Barcelona,QGH22-06088,ear,2CT clean,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A337,6/8/2022,Anodorrhynchus hyacinthinus,Zoo Barcelona,QGH22-06100-IA,Traquea,"in culture,1CT",FBM : alphamem complete,silvia,no fibros,NA,NA,NA,NA,no fibros
A338,6/8/2022,Caloeanus nicobarica,Zoo Barcelona,QGH15-02298 /12449,Traquea,"in culture,2CT",FBM : alphamem complete,silvia,no fibros,NA,NA,NA,NA,no fibros
A343,6/15/2022,Delfus comun,Oceanografic Valencia,NA,skin,"in culture,0CT",DMEMF12 + 20%FBS + P/S + Lglu + S.Piruv. + NEAA + fgf2 20 ng/ml,Silvia,no fibros,NA,NA,NA,NA,no fibros
A366,7/25/2022,Cabra rasquera,Zoo Barcelona,QGH12-00146,skin,4CT,NA,NA,No vials N2,NA,NA,NA,NA,NA
A367,7/28/2022,Amazona aestiva,Zoo madrid,"AE-29 ""blu""","skin , traquea",3CT skin 3CT traquea,NA,NA,No vials N2,NA,NA,NA,NA,NA
A371,7/29/2022,Tauraco erythroliphus,Zoo Barcelona,TRC15-00347,traquea,3CT,NA,NA,No vials N2,NA,NA,NA,NA,NA
A372,8/3/2022,Turaco leucoti,Zoo Madrid,NA,"traquea , skin",1CT skin 2CT traquea,NA,NA,No vials N2,NA,NA,NA,NA,NA
A376,8/11/2022,Salmon salar,Acuario Gijon,NA,Skin and Aletas,2CT skin 0CT Aletas,28C and 37C FBM on matrigel and w/o matrigel,Sira,No vials N2,NA,NA,NA,NA,NA
A377,8/11/2022,Hippocampus abdominalis,Acuario Gijon,NA,Fins,revisar -80 ·CT  2CT skin 2CT Aletas,28C high glucose on matrigel and w/o matrigel,Sira,No vials N2,NA,NA,NA,NA,NA
A378,8/11/2022,Agalychnis callidryas,Acuario Gijon,NA,skin and riñon,2CT skin 2CT riñon,NA,NA,No vials N2,NA,NA,NA,NA,NA
A393,9/14/2022,Nanger Dama,Zoo Madrid,MIG12-29854099/MADRID Z / GAD26,skin and ovario,4CT skin and 2 CT ovario,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A395,9/16/2022,Calotriton arnoldi,Zoo Barcelona,QGH22-06198-IA,Larva,in culture,28C alphamem complete + 100x ITS +0.1% Normocin,Sira,No vials N2,NA,NA,NA,NA,NA
A183,9/23/2022,Cercocebus torquatus,Zoo Barcelona,QGH14-02193/12333,piel,1 CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A397,9/23/2022,Nanger Dama mhorr,Zoo Barcelona,QGH16-04153/barcelona/12778,skin,1 CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A398,9/23/2022,Nanger Dama mhorr,Zoo Barcelona,QGH17-04511/barcelona/12963,skin,1 CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A405 (A156),10/3/2022,Nanger dama mhoor,Zoo Barcelona,MIG12-29591142,Skin,2CT,NA,Sílvia,No vials N2,NA,NA,NA,NA,NA
A410,10/7/2022,Loris Arcoiris,Zoo Madrid,NA,"piel , traquea",in culture (2CT),FBM / on Matrigel 19/10/22,Sira,NO SUCCESS,NA,NA,Negative,NA,NA
A412,10/11/2022,Ateles Hybridus,Zoo Barcelona,QGH22-06222/Barcelona14222,placenta,1CT,--,Silvia,No vials N2,NA,NA,NA,NA,NA
A415,10/19/2022,Agapronis Nigeriensis,Zoo Barcelona,QGH22-06225-IA,Traquea,in culture,FBM on mg,Sira,No vials N2,NA,NA,NA,NA,NA
A420,11/3/2022,Gacella dorcas,Zoo Barcelona,QGH22-06235-IA,ear,2CT,NA,NA,No vials N2,NA,NA,NA,NA,NA
A426,11/30/2022,Ateles hybrydus,Zoo Barcelona,NA,ear,2 CT,NA,NA,No vials N2,NA,NA,NA,NA,NA
A429,12/12/2022,Lama guanicoe,Zoo Barcelona,18263842/barcelona/9576,ear,3 CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
A432,12/20/2022,Hylobates lar,Zoo de Madrid,25620264/MADRID Z / GMB2,skin,"in culture, 1 CT",alphamem,silvia,No vials N2,NA,NA,NA,NA,NA
A433,12/21/2022,Butorides striata,Zoo Barcelona,QGH12-00159/Barcelona/11588,traquea,2CT,NA,silvia,No vials N2,NA,NA,NA,NA,NA
