"scientific_name","species","iucn_category","superclass","genus","family","order","zoonomia","illumina","silencer"
"Chlamydosaurus kingii","Chlamydosaurus kingii","LEAST CONCERN","Reptil","Chlamydosaurus","Agamidae","Squamata",FALSE,TRUE,FALSE
"Bucorvus leadbeateri","Bucorvus leadbeateri","VULNERABLE","Birds","Bucorvus","Bucorvidae","Bucerotiformes",FALSE,TRUE,FALSE
"Chamaeleo chamaeleon","Chamaeleo chamaeleon","LEAST CONCERN","Reptil","Chamaeleo","Chamaeleonidae","Squamata",FALSE,TRUE,FALSE
"Gallicolumba luzonica","Gallicolumba luzonica","NEAR THREATENED","Birds","Gallicolumba","Columbidae","Columbiformes",FALSE,TRUE,FALSE
"Crocodylus rhombifer","Crocodylus rhombifer","CRITICALLY ENDANGERED","Reptil","Crocodylus","Crocodylidae","Crocodylia",FALSE,TRUE,FALSE
"Osteolaemus tetraspis","Osteolaemus tetraspis","VULNERABLE","Reptil","Osteolaemus","Crocodylidae","Crocodylia",FALSE,TRUE,FALSE
"Graptemys pseudogeographica","Graptemys pseudogeographica","LEAST CONCERN","Reptil","Graptemys","Emydidae","Testudines",FALSE,TRUE,FALSE
"Eliomys quercinus","Eliomys quercinus","NEAR THREATENED","Mammalia","Eliomys","Gliridae","Rodentia",FALSE,TRUE,FALSE
"Notamacropus rufogriseus","Notamacropus rufogriseus","LEAST CONCERN","Mammalia","Notamacropus","Macropodidae","Diprotodontia",FALSE,TRUE,FALSE
"Musophaga violacea","Musophaga violacea","LEAST CONCERN","Birds","Musophaga","Musophagidae","Musophagiformes",FALSE,TRUE,FALSE
"Pteropus lylei","Pteropus lylei","VULNERABLE","Mammalia","Pteropus","Pteropodidae","Chiroptera",FALSE,TRUE,FALSE
"Cynomys ludovicianus","Cynomys ludovicianus","LEAST CONCERN","Mammalia","Cynomys","Sciuridae","Rodentia",FALSE,TRUE,FALSE
"Otus scops scops","Otus scops","LEAST CONCERN","Birds","Otus","Strigidae","Strigiformes",FALSE,TRUE,FALSE
"Scissirostrum dubium","Scissirostrum dubium","LEAST CONCERN","Birds","Scissirostrum","Sturnidae","Passeriformes",FALSE,TRUE,FALSE
"Dracaena guianensis","Dracaena guianensis","LEAST CONCERN","Reptil","Dracaena","Teiidae","Squamata",FALSE,TRUE,FALSE
"Varanus albigularis","Varanus albigularis","LEAST CONCERN","Reptil","Varanus","Varanidae","Squamata",FALSE,TRUE,FALSE
"Varanus prasinus","Varanus prasinus","LEAST CONCERN","Reptil","Varanus","Varanidae","Squamata",FALSE,TRUE,FALSE
"Pleurodeles waltl","Pleurodeles waltl","NEAR THREATENED","Amphibia","Pleurodeles","Salamandridae","Caudata",FALSE,TRUE,FALSE
"Jacana jacana","Jacana jacana","LEAST CONCERN","Birds","Jacana","Jacanidae","Charadriiformes",FALSE,TRUE,FALSE
"Ciconia ciconia","Ciconia ciconia","LEAST CONCERN","Birds","Ciconia","Ciconiidae","Ciconiiformes",FALSE,TRUE,FALSE
"Colius striatus","Colius striatus","LEAST CONCERN","Birds","Colius","Coliidae","Coliiformes",FALSE,TRUE,FALSE
