species,species_genome,genome_match,divergence_mya_adj,min,max,,,,,
Acrantophis dumerili,Charina bottae,family,64,40.8,86.3,,,,,
Acrantophis dumerili,Candoia aspera,family,64,40.8,86.3,,,,,
Agalychnis callidryas,Hyla sarda,family,63,58.6,68.4,,,,,
Ailurus fulgens,Ailurus styani,genus,0,,,,,,,
Alytes muletensis,Discoglossus pictus,family,136,113.4,153.3,,,,,
Amazona brasiliensis,Amazona aestiva,genus,6.3,4.9,7.1,,,,,
Amazona brasiliensis,Amazona ochrocephala,genus,6,4.9,7.1,,,,,
Ammotragus lervia,Bubalus carabanensis,family,21.6,19.1,30.8,,,,,
Aonyx cinereus,Neogale vison,family,10.6,8.7,16.3,,,,,
Apus pallidus,Apus apus,genus,0.43,NA,,,,,,
Axis axis,Axis porcinus,genus,3.19,2.6,8.3,,,,,
Balearica pavonina,Balearica regulorum,genus,2.6,,,,,,,
Bucorvus leadbeateri,Bucorvus abyssinicus,genus,12.9,,,,,,,
Butorides striata,Butorides virescens,genus,NA,NA,,,,,,
Capra pyrenaica,Capra aegagrus,genus,1.77,1.1,7.1,,,,,
Carcharhinus amblyrhynchos,Carcharhinus longimanus,genus,NA,,,,,,,
Cercocebus lunulatus,Cercocebus atys,genus,2.64,1,3.6,,,,,
Chamaeleo chamaeleon,Furcifer pardalis,family,48,20.4,47.8,,,,,
Chamaeleo chamaeleon,Bradypodion pumilum,family,46,31,73.5,,,,,
Chlamydosaurus kingii,Phrynocephalus forsythii,family,73,64,98.4,,,,,
Chlamydosaurus kingii,Laudakia wui,family,73,64,98.4,,,,,
Chloris chloris,Haemorhous mexicanus,family,11.7,,,,,,,
Columba palumbus,Columba livia,genus,13.4,9.8,24,,,,,
Connochaetes gnou,Connochaetes taurinus,genus,1.32,0.7,4.8,,,,,
Coronella austriaca,Ahaetulla prasina,family,21.8,,,,,,,
Coronella girondica,Ahaetulla prasina,family,21.8,,,,,,,
Corucia zebrata,Plestiodon gilberti,family,60,,,,,,,
Corucia zebrata,Tiliqua scincoides,family,38,0,48.6,,,,,
Crinifer piscator,Tauraco hartlaubi,family,42,32.4,51,,,,,
Crocodylus rhombifer,Crocodylus porosus,genus,14.1,11,22.5,,,,,
Cyanocorax yncas,Corvus hawaiiensis,family,15.6,15.4,15.9,,,,,
Cygnus melancoryphus,Cygnus atratus,genus,NA,,,,,,,
Cynomys ludovicianus,Ictidomys tridecemlineatus,family,6.9,4.8,7.9,,,,,
Cynomys ludovicianus,Cynomys gunnisoni,genus,3.13,1.7,3.9,,,,,
Dacelo novaeguineae,Todiramphus chloris,family,12,,,,,,,
Delichon urbicum,Hirundo rustica,family,15.8,11.8,26.6,,,,,
Delichon urbicum,Delichon dasypus,genus,6.2,,,,,,,
Diplodus vulgaris,Diplodus puntazzo,genus,18.5,18.3,18.8,,,,,
Dracaena guianensis,Aspidoscelis tigris,family,69,62.2,85.1,,,,,
Eliomys quercinus,Muscardinus avellanarius,family,28.3,0,36.6,,,,,
Eos reticulata,Eos semilarvata,genus,1.78,1.2,2.3,,,,,
Equus ferus,Equus quagga,genus,2.78,,,,,,,
Eudocimus ruber,Theristicus caerulescens,family,23.1,,,,,,,
Ficedula hypoleuca,Ficedula albicollis,genus,1.85,1,3.5,,,,,
Gallicolumba luzonica,Streptopelia turtur,family,43,27.3,47.2,,,,,
Gallinula chloropus,Hypotaenidia okinawae,family,33.3,21.8,38.4,,,,,
Gazella cuvieri,Bubalus carabanensis,family,21.6,19.1,30.8,,,,,
Gazella cuvieri,Bubalus kerabau,family,24.6,,,,,,,
Gazella dorcas,Bubalus carabanensis,family,21.6,19.1,30.8,,,,,
Gazella dorcas,Bubalus kerabau,family,24.6,,,,,,,
Geronticus eremita,Theristicus caerulescens,family,NA,,,,,,,
Graptemys pseudogeographica,Emys orbicularis,family,38,14.4,56.4,,,,,
Graptemys pseudogeographica,Graptemys geographica,genus,10.6,9.7,11.4,,,,,
Hemorrhois hippocrepis,Ahaetulla prasina,family,44,28.4,45.9,,,,,
Heosemys spinosa,Mauremys mutica,family,41,37.3,43.7,,,,,
Hippocampus reidi,Hippocampus zosterae,genus,13.6,9.6,17.3,,,,,
Hylobates lar,Hylobates pileatus,genus,4.06,3.6,4.8,,,,,
Ixobrychus minutus,Egretta garzetta,family,34,,,,,,,
Ixobrychus minutus,Gorsachius magnificus,family,NA,,,,,,,
Lampropeltis triangulum,Ahaetulla prasina,family,53.3,,,,,,,
