"taxon_id","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","TOGA","common_name","alternative_name","subspecies","genus","subfamily","family","project"
"184585","Engraulis encrasicolus","Clupeiformes","Actinopteri","Fish","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue (whole specimen)","species","Engraulis encrasicolus","Chromosome",56351229,1448200,NA,"2023-12-28",NA,1537905000,24,2,"insdc_open","toga1/2","European Anchovy,European anchovy",NA,NA,"Engraulis",NA,"Engraulidae","no_project"
"113544","Arapaima gigas","Osteoglossiformes","Actinopteri","Fish",NA,TRUE,TRUE,FALSE,1,0,0,0,0,"Gills/skin","species","Arapaima gigas","Scaffold",667839,131583,27350,"2018-07-25",NA,875310000,28,2,"insdc_open","toga1/2","Arapaima,Arapaima;arapaima",NA,NA,"Arapaima",NA,"Osteoglossidae","no_project"
"8030","Salmo salar","Salmoniformes","Actinopteri","Fish","LEAST CONCERN",TRUE,TRUE,FALSE,2,0,1,0,0,"Tissue","species","Salmo salar","Chromosome",28058890,28058890,NA,"2021-04-21",NA,3031800000,29,2,"insdc_open","toga1/2","Atlantic Samon,Atlantic salmon",NA,NA,"Salmo",NA,"Salmonidae","no_project"
"47709","Sargocentron diadema","Holocentriformes","Actinopteri","Fish","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,"Caudal Fin","genus","Sargocentron spiniferum","Scaffold",2676641,35406,NA,"2025-08-13",NA,757950000,21,2,NA,"toga1/2",NA,NA,NA,"Sargocentron",NA,"Holocentridae","no_project"
"50733","Astronotus ocellatus","Cichliformes","Actinopteri","Fish","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,"Pectoral fin / gill","family","Etroplus suratensis","Chromosome",51572587,33988944,NA,"2024-08-01",NA,1066020000,19,2,"insdc_open","toga1/2","Crombier,Oscar",NA,NA,"Astronotus",NA,"Cichlidae","no_project"
"2797475","Neotrygon orientalis","Myliobatiformes","Chondrichthyes","Fish","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,"Skin/spleen","family","Hemitrygon akajei","Chromosome",175234968,8940806,NA,"2025-03-05",NA,4801980000,32,2,"insdc_open","toga1/2",NA,NA,NA,"Neotrygon",NA,"Dasyatidae","no_project"
"87756","Diplodus vulgaris","Spariformes","Actinopteri","Fish","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,"Aleta Caudal","genus","Diplodus puntazzo","Chromosome",34685444,5518951,NA,"2024-03-17",NA,557460000,24,2,"insdc_open","toga1/2","Seabream,Common two-banded seabream",NA,NA,"Diplodus",NA,"Sparidae","no_project"
"109274","Hippocampus abdominalis","Syngnathiformes","Actinopteri","Fish","LEAST CONCERN",TRUE,TRUE,FALSE,2,0,0,0,0,"Lower lobe of Caudal fin/ whole specimen","species","Hippocampus abdominalis","Chromosome",21766359,8410403,NA,"2021-05-25",95.9,567240000,22,2,"insdc_open","toga1/2","Pot-bellied Seahorse,Big-belly seahorse;big-belly seahorse",NA,NA,"Hippocampus",NA,"Syngnathidae","no_project"
"7801","Ginglymostoma cirratum","Orectolobiformes","Chondrichthyes","Fish","VULNERABLE",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue/uter","species","Ginglymostoma cirratum","Scaffold",40366410,55429,NA,"2022-06-30",NA,3814200000,51,2,"insdc_open","toga1/2","Nurse shark,Nurse shark;nurse shark",NA,NA,"Ginglymostoma",NA,"Ginglymostomatidae","no_project"
"137246","Chiloscyllium punctatum","Orectolobiformes","Chondrichthyes","Fish","NEAR THREATENED",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue","species","Chiloscyllium punctatum","Chromosome",93668967,5342658,33501,"2025-02-07",NA,4594840000,53,2,"published","toga1/2","Grey Carpetshark,Brownbanded bamboo shark;brownbanded bambooshark",NA,NA,"Chiloscyllium",NA,"Hemiscylliidae","no_project"
