"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x15","iucn","iPSC","animal_id","individual_id","lines_per_individual","status","superclass"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH20-05342/13650","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A216/A207","*A216/A207*",NA,NA,NA,"CR",FALSE,"A216","I_A216",2,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH20-05342/13650","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A216/A207","*A216/A207*",NA,NA,NA,"CR",FALSE,"A207","I_A216",2,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","11268",NA,NA,"Fibro","DNA","K",NA,NA,"Nanger Dama Mohr a85","A85","*A85*",NA,NA,"https://www.iucnredlist.org/species/8968/50186128","CR",FALSE,"A85","I_A85",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH19-05159","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A20","*A20*",NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=67940","CR",FALSE,"A20","I_A20",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH19-05123","CAPTIVE","F","Fibro","DNA","WGS",NA,NA,NA,"A19","*A19*","ORGONE_02/L-AD19",NA,"https://animaldiversity.org/accounts/Nanger_dama/","CR",FALSE,"A19","I_A19",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-29591142/BARCELONA / 11341","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A156/A405",NA,NA,NA,NA,"CR",FALSE,"A156","I_A156",2,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-29591142/BARCELONA / 11341","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A156/A405",NA,NA,NA,NA,"CR",FALSE,"A405","I_A156",2,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-28152170/BARCELONA13063","CAPTIVE","M","Fibro","K",NA,NA,NA,"Nanger Dama Mhorr A171","A171","*A171*",NA,NA,NA,"CR",FALSE,"A171","I_A171",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A215",NA,NA,NA,NA,"CR",FALSE,"A215","I_A215",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH22-06087","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A334",NA,NA,NA,NA,"CR",FALSE,"A334","I_A334",1,FALSE,"Mammalia"
