"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x14","iucn","superclass","data","animal_id","individual_id","lines_per_individual","iPSC","status"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR193 son of TOR18+TOR16","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A3","*A3*",NA,NA,NA,"CR","Amphibian",NA,"A3","I_A3",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH19-05277-IA","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A6","*A6*",NA,NA,"Calotriton arnoldi (iucnredlist.org)","CR","Amphibian",NA,"A6","I_A6",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A17","*A17*",NA,NA,"Taxonomy browser (Calotriton arnoldi) (nih.gov)","CR","Amphibian",NA,"A17","I_A17",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A28","*A28*","ORGONE_10_2",NA,NA,"CR","Amphibian",NA,"A28","I_A28",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR192, Any 2012, male","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A83","*A83*",NA,NA,NA,"CR","Amphibian",NA,"A83","I_A83",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A188","*A188*",NA,NA,NA,"CR","Amphibian",NA,"A188","I_A188",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A220","*A220*",NA,NA,NA,"CR","Amphibian",NA,"A220","I_A220",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A285","*A285*",NA,NA,NA,"CR","Amphibian",NA,"A285","I_A285",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A364","*A364*",NA,NA,NA,"CR","Amphibian",NA,"A364","I_A364",1,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A602",NA,NA,NA,NA,"CR","Amphibian",NA,"A602","I_A602",1,FALSE,FALSE
