"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","wgs","rna_seq","iucn","superclass","animal_id","individual_id","lines_per_individual","iPSC","status","cnag_id","species_short","link","dna","karyo","rna","seq","n_samples","date","animal_species","species_360_local_id","coming_from_clean"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR193 son of TOR18+TOR16","CAPTIVE","U","Primary",NA,"Cal_Arn_1",NA,NA,"CR","Amphibia","A3","I_A3",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,2,"6/11/2019, 26/11/2019","Calotriton Arnoldi","OR193 son of TOR18+TOR16","Zoo Centro de Fauna de Torreferrussa"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH19-05277-IA","CAPTIVE","U","Primary",NA,"Cal_Arn_2",NA,NA,"CR","Amphibia","A6","I_A6",1,FALSE,FALSE,NA,"Cal_Arn","Calotriton arnoldi (iucnredlist.org)",FALSE,FALSE,FALSE,FALSE,1,"14/11/2019","Calotriton Arnoldi","QGH19-05277-IA/AP19-133","Zoo Barcelona"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE","U","Primary",NA,"Cal_Arn_3",NA,NA,"CR","Amphibia","A17","I_A17",1,FALSE,FALSE,NA,"Cal_Arn","Taxonomy browser (Calotriton arnoldi) (nih.gov)",FALSE,FALSE,FALSE,FALSE,1,"25/05/2020","Triton","QGH20-05351-IA","Zoo Barcelona"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE","U","Primary",NA,"Cal_Arn_4","ORGONE_10_2",NA,"CR","Amphibia","A28","I_A28",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"21/7/2020","Triton Del Montseny","QGH20-05351-IA","Zoo Barcelona"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR192, Any 2012, male","CAPTIVE","U","Primary",NA,"Cal_Arn_5",NA,NA,"CR","Amphibia","A83","I_A83",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"25/02/21","Calotriton Arnoldi","OR192, Any 2012, male","Zoo Centro de Fauna de Torreferrussa"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_6",NA,NA,"CR","Amphibia","A188","I_A188",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"06/10/21","Calotriton arnoldi","16879/2354","Zoo Barcelona"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_7",NA,NA,"CR","Amphibia","A220","I_A220",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"01/12/21","Tritó del montseny","QGH16-04243","Salvi"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_8",NA,NA,"CR","Amphibia","A285","I_A285",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"16/03/2022","Triton","---","Zoo Barcelona"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_9",NA,NA,"CR","Amphibia","A364","I_A364",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"18/07/2022","Calotriton arnoldi","QGH21-05744","Zoo Barcelona"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,"Cal_Arn_10",NA,NA,"CR","Amphibia","A602","I_A602",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"4/11/2024","Calotriton arnoldi","QTR12-00743 / BARCELONA / 12098","Zoo Barcelona"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH25-07332/ BARCELONA / 15138","CAPTIVE","U","Primary",NA,"Cal_Arn_11",NA,NA,"CR","Amphibia","A795","I_A795",1,FALSE,FALSE,NA,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE,1,"9/4/2026","Calotriton arnoldi","QGH25-07332/ BARCELONA / 15138","Zoo Barcelona"
"Triturus marmoratus","Triturus marmoratus",NA,"Marbled Newt","Salamandridae","NO ZIMS","WILD","U","Primary",NA,"Tri_Mar_1",NA,NA,"VU","Amphibia","A642","I_A642",1,FALSE,FALSE,NA,"Tri_Mar","https://www.iucnredlist.org/species/59477/219150517",FALSE,FALSE,FALSE,FALSE,1,"19/2/2025","T. marmoratus","MIG12-30088854 / BARCELONA / 4368","Museu de Ciencies Naturlas Barcelona"
"Triturus marmoratus","Triturus marmoratus",NA,"Marbled Newt","Salamandridae","NO ZIMS","WILD","U","Primary",NA,"Tri_Mar_2",NA,NA,"VU","Amphibia","A643","I_A643",1,FALSE,FALSE,NA,"Tri_Mar",NA,FALSE,FALSE,FALSE,FALSE,1,"19/2/2025","T. marmoratus","MIG12-30088854 / BARCELONA / 4368","Museu de Ciencies Naturlas Barcelona"
"Triturus marmoratus","Triturus marmoratus",NA,"Marbled Newt","Salamandridae","BC0096","WILD","U","Primary",NA,"Tri_Mar_3",NA,NA,"VU","Amphibia","A650","I_A650",1,FALSE,FALSE,NA,"Tri_Mar",NA,FALSE,FALSE,FALSE,FALSE,1,"21/2/2025","T. marmoratus","BC00996","Museu de Ciencies Naturlas Barcelona"
"Triturus marmoratus","Triturus marmoratus",NA,"Marbled Newt","Salamandridae","BC00833","WILD","U","Primary",NA,"Tri_Mar_4",NA,NA,"VU","Amphibia","A651","I_A651",1,FALSE,FALSE,NA,"Tri_Mar",NA,FALSE,FALSE,FALSE,FALSE,1,"21/2/2025","T. marmoratus","BC00833","Museu de Ciencies Naturlas Barcelona"
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","MIG12-30088849","CAPTIVE",NA,"Primary",NA,"Amb_Mex_1",NA,NA,"CR","Amphibia","A41","I_A41",1,FALSE,FALSE,NA,"Amb_Mex","https://www.iucnredlist.org/species/1095/53947343",FALSE,FALSE,FALSE,FALSE,1,"9/12/2020","Ambistoma mexicanum","MIG12-30088849","Zoo Barcelona"
