"scientific_name","species","subspecies","common_name","family","zims_species360","origin","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","cnag_id","data","iucn","superclass","animal_id","individual_id","lines_per_individual","iPSC","status"
"Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A376","*A376*",NA,"https://www.iucnredlist.org/species/19855/9026693","LC","Fish","A376","I_A376",1,FALSE,FALSE
"Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A138","*A138*",NA,"https://www.miteco.gob.es/en/biodiversidad/temas/inventarios-nacionales/09047122800af6b3_tcm38-199078.pdf","LC","Fish","A138","I_A138",1,FALSE,FALSE
"Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A223","*A223*",NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=97955","LC","Fish","A223","I_A223",1,FALSE,FALSE
"Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A349","*A349*",NA,"https://animaldiversity.org/accounts/Salmo_salar/","LC","Fish","A349","I_A349",1,FALSE,FALSE
"Carcharhinus plumbeus","Carcharhinus plumbeus",NA,"Sandbar shark","Carcharhinidae","WKP18-01472/MADRID Z / TG05","CAPTIVE","Primary",NA,NA,NA,NA,NA,"A145","*A145*",NA,"https://www.iucnredlist.org/species/39365/173433550","EN","Fish","A145","I_A145",1,FALSE,FALSE
"Carcharhinus plumbeus","Carcharhinus plumbeus",NA,"Sandbar shark","Carcharhinidae","-","CAPTIVE","Primary",NA,NA,NA,NA,"DNA","A678",NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=263684","EN","Fish","A678","I_A678",1,FALSE,FALSE
"Carcharhinus melanopterus","Carcharhinus melanopterus",NA,"Blacktip Reef Shark","Carcharhinidae",NA,"CAPTIVE","Primary",NA,NA,NA,NA,"C","A708",NA,NA,NA,"VU","Fish","A708","I_A708",1,FALSE,FALSE
"Scyliorhinus stellaris","Scyliorhinus stellaris",NA,"Nursehound","Scyliorhinidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A225",NA,NA,NA,"VU","Fish","A225","I_A225",1,FALSE,FALSE
"Ginglymostoma cirratum","Ginglymostoma cirratum",NA,"Nurse shark","Ginglymostomatidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A240","*A240*",NA,NA,"VU","Fish","A240","I_A240",1,FALSE,FALSE
"Chiloscyllium punctatum","Chiloscyllium punctatum",NA,"Grey Carpetshark","Hemiscylliidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A249","*A249*",NA,NA,"NT","Fish","A249","I_A249",1,FALSE,FALSE
"Hemiscyllium ocellatum","Hemiscyllium ocellatum",NA,"Epaulette Shark","Hemiscylliidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A252","*A252*",NA,NA,"LC","Fish","A252","I_A252",1,FALSE,FALSE
"Diplodus vulgaris","Diplodus vulgaris",NA,"Seabream","Sparidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A310","*A31O*",NA,"https://www.iucnredlist.org/species/170261/1304171","LC","Fish","A31O","I_A31O",1,FALSE,FALSE
"Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A445","*A445*",NA,"https://www.iucnredlist.org/species/10082/17025021","NT","Fish","A445","I_A445",1,FALSE,FALSE
"Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A478",NA,NA,NA,"NT","Fish","A478","I_A478",1,FALSE,FALSE
"Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A484",NA,NA,NA,"NT","Fish","A484","I_A484",1,FALSE,FALSE
"Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A485",NA,NA,NA,"NT","Fish","A485","I_A485",1,FALSE,FALSE
"Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A646",NA,NA,NA,"NT","Fish","A646","I_A646",1,FALSE,FALSE
"Hippocampus abdominalis","Hippocampus abdominalis",NA,"Pot-bellied Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A444","*A444*",NA,"https://www.iucnredlist.org/species/10057/54903879","LC","Fish","A444","I_A444",1,FALSE,FALSE
"Hippocampus abdominalis","Hippocampus abdominalis",NA,"Pot-bellied Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A377","*A377*",NA,NA,"LC","Fish","A377","I_A377",1,FALSE,FALSE
