"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","c_value","genome_size","genome_size_draft","contig_n50","gene_count","assembly_date","assembly_level","assembly_span","scaffold_n50","busco_completeness","chromosome_number","haploid_number","ploidy","sequencing_status","published","TOGA","common_name","genome_match","species_genome","divergence_mya_adj","taxon_id_ref","status","precomputed_age","adjusted_age","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2","selected"
"Pleurodeles waltl","Pleurodeles waltl",NA,NA,NA,"NEAR THREATENED",2,"U","Amphibia","Fibro",NA,"X",NA,"X",NA,NA,"larvae/Trachea",NA,"Pleurodeles_waltl","8319","Pleurodeles waltlii",NA,NA,NA,NA,NA,"Pleurodeles","Salamandridae","Caudata","Amphibia","Chordata","Metazoa",NA,21.40625,20929200000,NA,20474000,13359,"2024-03-19","Chromosome",19767450834,1360680797,NA,24,12,3,"insdc_open",NA,"toga1/2","Sharp-ribbed Salamander,Spanish ribbed newt;Iberian ribbed newt","species","Pleurodeles waltl",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Lissotriton helveticus","Lissotriton helveticus",NA,NA,NA,"LEAST CONCERN",1,"U","Amphibia","Fibro",NA,NA,NA,NA,NA,NA,"Tail",NA,"Lissotriton_helveticus","256425","Lacerta helvetica;Triturus helveticus;Lacerta paradoxa helvetica;Salamandra palmata;Salamandra palmipes",NA,NA,NA,NA,NA,"Lissotriton","Salamandridae","Caudata","Amphibia","Chordata","Metazoa",NA,26.34375,25760520000,NA,7795245,NA,"2024-10-17","Chromosome",23170028842,2132484007,93,24,12,3,"insdc_open",NA,"toga1/2","Palmate Newt,Palmate newt;Newt, Palmate;palmate newt","species","Lissotriton helveticus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Xenopus laevis","Xenopus laevis",NA,NA,NA,"LEAST CONCERN",1,NA,"Amphibia","Fibro",NA,"X",NA,"X",NA,NA,"Skin/liver/heart/muscle/eye",NA,"Xenopus_laevis","8355","Bufo laevis",NA,NA,NA,NA,NA,"Xenopus","Pipidae","Anura","Amphibia","Chordata","Metazoa",NA,3.150390625,3080700000,NA,22451507,45942,"2021-04-12","Chromosome",2730434022,155250555,NA,36,18,4,"insdc_open",NA,"toga1/2","African Clawed Frog,African clawed frog","species","Xenopus laevis",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,4,"Both",1,1,1,"Anura",FALSE
"Xenopus tropicalis","Xenopus tropicalis",NA,NA,NA,"LEAST CONCERN",1,NA,"Amphibia","Fibro",NA,NA,NA,NA,NA,NA,"Skin/liver/heart/muscle/eye",NA,"Xenopus_tropicalis","8364","Silurana tropicalis;Xenopus laevis tropicalis;Xenopus (Silurana) tropicalis",NA,NA,NA,NA,NA,"Xenopus","Pipidae","Anura","Amphibia","Chordata","Metazoa",NA,1.740234375,1701720000,NA,14634335,25015,"2019-11-14","Chromosome",1451283599,153961319,88.5,20,10,2,"insdc_open",NA,"toga1/2","Tropical Clawed Frog,Western clawed frog;tropical clawed frog","species","Xenopus tropicalis",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,4,"Both",1,1,1,"Anura",FALSE
"Discoglossus pictus","Discoglossus pictus",NA,NA,NA,"LEAST CONCERN",1,"U","Amphibia","Fibro",NA,"x","x",NA,NA,NA,"Fingertips/Tail",NA,"Discoglossus_pictus","8351","Pseudes pictus;Rana picta;Colodactylus coerulescens",NA,NA,NA,NA,NA,"Discoglossus","Alytidae","Anura","Amphibia","Chordata","Metazoa",NA,5.25,5134500000,NA,3043591,NA,"2022-12-28","Chromosome",3872581802,453717995,NA,28,14,4,"insdc_open",NA,"toga1/2","Painted Frog,Painted frog;painted frog","species","Discoglossus pictus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,4,"Both",1,1,1,"Anura",FALSE
"Leptodactylus fallax","Leptodactylus fallax",NA,NA,NA,"CRITICALLY ENDANGERED",1,"M","Amphibia","Fibro",NA,NA,NA,NA,NA,NA,"Muscle / skin / heart",NA,"Leptodactylus_fallax","375434","Leptodactylus dominicensis",NA,NA,NA,NA,NA,"Leptodactylus","Leptodactylidae","Anura","Amphibia","Chordata","Metazoa",NA,3.212890625,3141825000,NA,4630249,NA,"2022-10-08","Scaffold",2510271426,4630249,NA,22,11,4,"insdc_open",NA,"toga1/2","Mountain Chicken,mountain chicken frog","species","Leptodactylus fallax",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,4,"Both",1,1,1,"Anura",FALSE
"Crocodylus rhombifer","Crocodylus rhombifer",NA,NA,"I","CRITICALLY ENDANGERED",1,"F","Reptil","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Crocodylus_rhombifer","184239","Crocodilus rhombifer;Crocodilus gravesii;Crocodilus planirostris;Crocodilus pristinus;Crocodylus antillensis;Crocodylus pristinus",NA,NA,NA,NA,NA,"Crocodylus","Crocodylidae","Crocodylia",NA,"Chordata","Metazoa",NA,2.83984375,2777520000,NA,99156,NA,"2024-04-26","Scaffold",2305509932,478168,NA,30,15,2,"insdc_open",NA,"toga1/2","Cuban Crocodile,Cuban crocodile","species","Crocodylus rhombifer",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Aldabrachelys gigantea","Aldabrachelys gigantea",NA,NA,"II","VULNERABLE",2,"U/U","Reptil","Fibro",NA,"X","X","X","X",NA,NA,"Geochelone gigantea","Aldabrachelys_gigantea","167804","Aldabrachelys dussumieri;Aldabrachelys elephantina;Dipsochelys dussumieri;Geochelone gigantea;Testudo gigantea;Aldabrachelys gigantea gigantea;Dipsochelys daudinii;Geochelone dussumieri;Megalochelys gigantea;Testudo daudinii;Testudo dussumieri;Testudo elephantina;Testudo gigantea daudinii;Testudo gouffei;Testudo hololissa;Testudo indica;Testudo ponderosa;Testudo sumeirei",NA,NA,NA,NA,NA,"Aldabrachelys","Testudinidae","Testudines",NA,"Chordata","Metazoa",NA,2.955078125,2889990000,NA,58656949,NA,"2022-11-15","Chromosome",2373354137,148569599,NA,52,26,2,"insdc_open",NA,"toga1/2","Aldabra giant tortoise","species","Aldabrachelys gigantea",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Varanus albigularis","Varanus albigularis",NA,NA,"II","LEAST CONCERN",1,"F","Reptil","Fibro",NA,"X","X",NA,"X",NA,"Tissue",NA,"Varanus_albigularis","8558","Varanus exanthematicus albigularis;Monitor albigularis;Tupinambis albigularis;Varanus albogularis;Varanus gilli;Varanus microstictus",NA,NA,NA,NA,NA,"Varanus","Varanidae","Squamata","Lepidosauria","Chordata","Metazoa",NA,2.0546875,2009790000,NA,9422,NA,"2024-10-23","Scaffold",1660173986,14924,NA,40,20,3,"insdc_open",NA,"toga1/2","White-throated monitor","species","Varanus albigularis",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Squamata",FALSE
"Caribicus warreni","Caribicus warreni",NA,NA,NA,"VULNERABLE",2,"M/M","Reptil","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Caribicus_warreni","865857","Celestus warreni;Diploglossus warreni;Celestus warreni warreni",NA,NA,NA,NA,NA,"Caribicus","Diploglossidae","Squamata","Lepidosauria","Chordata","Metazoa",NA,1.5498046875,1515900000,NA,NA,NA,NA,NA,1979655064,NA,NA,36,18,3,NA,NA,"toga1/2",NA,"none","none",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,5,"Both",1,1,1,"Squamata",FALSE
"Malpolon monspessulanus","Malpolon monspessulanus",NA,NA,NA,"LEAST CONCERN",2,"U/F","Reptil","Fibro",NA,"X",NA,NA,NA,NA,NA,NA,"Malpolon_monspessulanus","184164","Coluber monspessulanus;Coelopeltis insignitus;Coelopeltis lacertina;Coelopeltis monspessulana;Coelopeltis monspessulanus;Coelopeltis monspessulanus occidentalis;Coluber insignitus;Coluber monspeliensis;Malpolon monspessulana;Malpolon monspessulanus fuscus;Natrix lacertina;Psammophis lacertina;Rhabdodon fuscus",NA,NA,NA,NA,NA,"Malpolon","Lamprophiidae","Squamata","Lepidosauria","Chordata","Metazoa",NA,1.509765625,1476780000,NA,32743049,NA,"2024-09-25","Chromosome",1752149986,121923953,NA,42,21,3,"insdc_open",NA,"toga1/2","Western Montpellier Snake,Montpellier snake","species","Malpolon monspessulanus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,5,"Both",1,1,1,"Squamata",FALSE
"Hemorrhois hippocrepis","Hemorrhois hippocrepis",NA,NA,NA,"LEAST CONCERN",1,"U","Reptil","Fibro",NA,"X",NA,NA,NA,NA,NA,NA,"Hemorrhois_hippocrepis","166086","Calopeltis hippocrepis;Coluber hippocrepis;Zamenis hippocrepis;Coluber diadema;Coluber domesticus;Coluber hippocrepis intermedius;Haemorrhois hippocrepis;Hemerrhois hippocrepis;Hemmorrhois hippocrepis;Natrix hippocrepis;Periops hippocrepis",NA,NA,NA,NA,NA,"Hemorrhois","Colubridae","Squamata","Lepidosauria","Chordata","Metazoa",NA,1.73046875,1691940000,NA,54718507,NA,"2024-11-17","Chromosome",1806509314,153613759,NA,36,18,3,"insdc_open",NA,"toga1/2","Horseshoe Whip Snake,horseshoe snake","species","Hemorrhois hippocrepis",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Squamata",FALSE
"Ctenosaura bakeri","Ctenosaura bakeri",NA,NA,NA,"CRITICALLY ENDANGERED",1,NA,"Reptil","Fibro",NA,"X",NA,"X",NA,NA,"Kidney",NA,"Ctenosaura_bakeri","500334","Enyaliosaurus bakeri",NA,NA,NA,NA,NA,"Ctenosaura","Iguanidae","Squamata","Lepidosauria","Chordata","Metazoa",NA,2.66015625,2601480000,NA,444732,NA,"2023-02-03","Contig",1915228381,444732,NA,36,18,3,"insdc_open",NA,"toga1/2",NA,"species","Ctenosaura bakeri",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Squamata",FALSE
"Jacana jacana","Jacana jacana",NA,NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Jacana_jacana","54508","Parra jacana",NA,NA,NA,NA,NA,"Jacana","Jacanidae","Charadriiformes","Aves","Chordata","Metazoa",NA,1.5048828125,1418100000,NA,31221,14651,"2020-07-10","Scaffold",1085086281,126631,NA,82,41,2,"insdc_open",NA,"not_in_toga","Wattled jacana,wattled jacana","species","Jacana jacana",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
