"scientific_name","iucn_category","superclass","class","genus","individuals","fibro","tissue_of_origin","assembly_level","scaffold_n50","genome_size","genome_match","selected"
"Pleurodeles waltl","NEAR THREATENED","Amphibia","Amphibia","Pleurodeles",2,1,"larvae/Trachea","Chromosome",1360680797,20929200000,"species",FALSE
"Lissotriton helveticus","LEAST CONCERN","Amphibia","Amphibia","Lissotriton",1,1,"Tail","Chromosome",2132484007,25760520000,"species",FALSE
"Xenopus laevis","LEAST CONCERN","Amphibia","Amphibia","Xenopus",1,1,"Skin/liver/heart/muscle/eye","Chromosome",155250555,3080700000,"species",FALSE
"Xenopus tropicalis","LEAST CONCERN","Amphibia","Amphibia","Xenopus",1,1,"Skin/liver/heart/muscle/eye","Chromosome",153961319,1701720000,"species",FALSE
"Discoglossus pictus","LEAST CONCERN","Amphibia","Amphibia","Discoglossus",1,1,"Fingertips/Tail","Chromosome",453717995,5134500000,"species",FALSE
"Leptodactylus fallax","CRITICALLY ENDANGERED","Amphibia","Amphibia","Leptodactylus",1,1,"Muscle / skin / heart","Scaffold",4630249,3141825000,"species",FALSE
"Crocodylus rhombifer","CRITICALLY ENDANGERED","Reptil",NA,"Crocodylus",1,1,"Trachea","Scaffold",478168,2777520000,"species",FALSE
"Aldabrachelys gigantea","VULNERABLE","Reptil",NA,"Aldabrachelys",2,1,NA,"Chromosome",148569599,2889990000,"species",FALSE
"Varanus albigularis","LEAST CONCERN","Reptil","Lepidosauria","Varanus",1,1,"Tissue","Scaffold",14924,2009790000,"species",FALSE
"Caribicus warreni","VULNERABLE","Reptil","Lepidosauria","Caribicus",2,1,"Trachea",NA,NA,1515900000,"none",FALSE
"Malpolon monspessulanus","LEAST CONCERN","Reptil","Lepidosauria","Malpolon",2,1,NA,"Chromosome",121923953,1476780000,"species",FALSE
"Hemorrhois hippocrepis","LEAST CONCERN","Reptil","Lepidosauria","Hemorrhois",1,1,NA,"Chromosome",153613759,1691940000,"species",FALSE
"Ctenosaura bakeri","CRITICALLY ENDANGERED","Reptil","Lepidosauria","Ctenosaura",1,1,"Kidney","Contig",444732,2601480000,"species",FALSE
"Jacana jacana","LEAST CONCERN","Birds","Aves","Jacana",1,1,"Trachea","Scaffold",126631,1418100000,"species",FALSE
"Ciconia ciconia","LEAST CONCERN","Birds","Aves","Ciconia",3,1,"Tissue","Scaffold",24544117,1545240000,"species",FALSE
"Colius striatus","LEAST CONCERN","Birds","Aves","Colius",2,1,"Trachea","Chromosome",89023854,1437660000,"species",FALSE
