"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","c_value","genome_size","genome_size_draft","contig_n50","gene_count","assembly_date","assembly_level","assembly_span","scaffold_n50","busco_completeness","chromosome_number","haploid_number","ploidy","sequencing_status","published","TOGA","common_name","genome_match","species_genome","divergence_mya_adj","taxon_id_ref","status","precomputed_age","adjusted_age","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2"
"Capra hircus","Capra hircus",NA,NA,"-","NA",4,"F/M/F/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Capra_hircus","9925","Capra aegagrus hircus",NA,NA,NA,NA,NA,"Capra","Bovidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,3.240234375,3168720000,NA,26244591,20740,"2016-08-24","Chromosome",2922600443,87277232,NA,60,30,2,"insdc_open",NA,"toga2","Domestic goat,Domestic goat;goat","species","Capra hircus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,4,2,2,0,0,TRUE,34,"Both",1,2,2,"Artiodactyla"
"Equus quagga burchelli","Equus quagga","burchelli",NA,"-","NEAR THREATENED",4,"F/M/F/M","Mammalia","Fibro",NA,"X",NA,NA,"X",NA,"Tissue",NA,"Equus_quagga","89248","Equus burchellii quagga",NA,NA,NA,NA,NA,"Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa",NA,3.560546875,3481680000,NA,427941,NA,"2022-01-31","Chromosome",2500914156,122556673,NA,44,22,2,"insdc_open",NA,"toga2","Burchell's zebra,plains zebra","species","Equus quagga",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,4,2,2,0,0,TRUE,6,"Both",1,2,2,"Perissodactyla"
"Gorilla gorilla","Gorilla gorilla",NA,NA,"I","CRITICALLY ENDANGERED",4,"-/F/M/M","Mammalia","Fibro/PBMc","X","X","X","X","X","X","Blood/Tissue",NA,"Gorilla_gorilla","9593","Troglodytes gorilla",NA,NA,NA,NA,NA,"Gorilla","Hominidae","Primates","Mammalia","Chordata","Metazoa",NA,3.5703125,3491460000,NA,42091,NA,"2023-04-03","Contig",13651264,42091,NA,48,24,2,"insdc_open",NA,"not_in_toga","Western Gorilla,Gorilla;Western lowland gorilla;western gorilla","species","Gorilla gorilla",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,4,3,3,0,1,TRUE,26,"Both",1,3,2,"Primates"
"Lama guanicoe","Lama guanicoe",NA,NA,"II","LEAST CONCERN",4,"F/F/-/M","Mammalia","Fibro",NA,"X",NA,"X",NA,NA,NA,NA,"Lama_guanicoe","9840","Lama guanicoe guanaco",NA,NA,NA,NA,NA,"Lama","Camelidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,3.2109375,3139380000,NA,343812,NA,"2023-04-03","Scaffold",2050533365,14786206,NA,74,37,2,"insdc_open",NA,"toga1/2","Guanaco","species","Lama guanicoe",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,4,3,3,0,0,TRUE,34,"Both",1,3,2,"Artiodactyla"
"Phacochoerus africanus","Phacochoerus africanus",NA,NA,"-","LEAST CONCERN",5,"M/F/F/M","Mammalia","Fibro","X","X","X","X","X",NA,"Tissue",NA,"Phacochoerus_africanus","41426","Sus africanus",NA,NA,NA,NA,NA,"Phacochoerus","Suidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,2.94921875,2885100000,NA,10602503,NA,"2021-02-19","Chromosome",2435083091,141887063,95.6,34,17,2,"insdc_open",NA,"toga2","Warthog,Common warthog","species","Phacochoerus africanus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,5,4,4,0,0,TRUE,34,"Both",1,4,2,"Artiodactyla"
"Osphranter rufus","Osphranter rufus",NA,NA,"-","LEAST CONCERN",4,"M/U/M/F","Mammalia","Fibro",NA,"X","X","X",NA,NA,"Tissue",NA,"Osphranter_rufus","9321","kangurus rufus;Macropus rufus;Megaleia rufa;Kangurus rufus",NA,NA,NA,NA,NA,"Osphranter","Macropodidae","Diprotodontia","Mammalia","Chordata","Metazoa",NA,3.130859375,3061140000,NA,1110,NA,"2021-09-24","Contig",2221471,1110,NA,20,10,2,"insdc_open",NA,"toga1","Red kangaroo,Red kangaroo;red kangaroo","species","Osphranter rufus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,4,4,4,0,0,TRUE,3,"Both",1,4,2,"Diprotodontia"
"Rangifer tarandus","Rangifer tarandus",NA,NA,"-","VULNERABLE",4,"F/M/F/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue/ovaries",NA,"Rangifer_tarandus","9870","Cervus tarandus;Cervus tarandus arctica;Rangifer arcticus;Rangifer muscatinensis;Rangifer spitzbergensis;Rangifer tarandus platyrhynchos",NA,NA,NA,NA,NA,"Rangifer","Cervidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,3.41015625,3334980000,NA,146778,NA,"2023-09-04","Scaffold",2832403223,69738971,NA,70,35,2,"published","ZOONOMIA","toga1","Reindeer,Reindeer, caribou;reindeer","species","Rangifer tarandus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,4,4,4,0,0,TRUE,34,"Both",1,4,2,"Artiodactyla"
"Ailurus fulgens","Ailurus fulgens",NA,NA,"I","ENDANGERED",7,"F/F/F/M/F/F/M","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Ailurus_fulgens","9649",NA,NA,NA,NA,NA,NA,"Ailurus","Ailuridae","Carnivora","Mammalia","Chordata","Metazoa",NA,2.8984375,2833755000,NA,99577,NA,"2017-02-28","Scaffold",2342939051,2983736,NA,36,18,2,"insdc_open",NA,"toga1/2",NA,"genus","Ailurus styani",10,"424585","No match",NA,NA,TRUE,TRUE,TRUE,7,5,5,0,0,TRUE,19,"Both",1,5,2,"Carnivora"
"Ammotragus lervia fassini","Ammotragus lervia","fassini","Caprinae","II","VULNERABLE",7,"M/U/M/U/?/F/M","Mammalia","Fibro","X","X","X","X","X",NA,"Tissue",NA,"Ammotragus_lervia","9899","Antilope lervia",NA,NA,NA,NA,NA,"Ammotragus","Bovidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,3.267578125,3195615000,NA,52017,NA,"2023-04-03","Scaffold",2650836958,1301762,94.3,58,29,2,"insdc_open",NA,"not_in_toga","Barbary Sheep,aoudad","species","Ammotragus lervia",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,7,5,5,0,0,TRUE,34,"Both",1,5,2,"Artiodactyla"
"Cebuella pygmaea","Cebuella pygmaea",NA,NA,"II","VULNERABLE",5,"U/F/F/F/M","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Cebuella_pygmaea","9493","Callithrix pygmaea pygmaea;Callithrix pygmaea;Cebuella pygmaea pygmaea;Jacchus pygmaeus",NA,NA,NA,NA,NA,"Cebuella","Cebidae","Primates","Mammalia","Chordata","Metazoa",NA,3.48046875,3403440000,NA,35755,NA,"2023-11-02","Scaffold",2683481473,35755,NA,44,22,2,"insdc_open",NA,"toga1/2","Pygmy marmoset,Pygmy marmoset;pygmy marmoset","species","Cebuella pygmaea",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,5,5,5,0,0,TRUE,26,"Both",1,5,2,"Primates"
