species,taxon_id,species_genome,taxon_id_ref,genome_match
Butorides striata,433628,Butorides virescens,110671,genus
Marmaronetta angustirostris,75875,Aythya fuligula,219594,family
Netta peposaca,541013,Netta rufina,30387,genus
Cygnus melancoryphus,41691,Cygnus atratus,8868,genus
Alytes muletensis,97955,Discoglossus pictus,8351,family
Xenopus longipes,288514,Xenopus petersii,288555,genus
Xenopus allofraseri,288535,Xenopus petersii,288555,genus
Xenopus boumbaensis,288550,Xenopus petersii,288555,genus
Bufo spinosus,655841,Bufo bufo,8384,genus
Rana pyrenaica,168099,Rana muscosa,160500,genus
Xenopus muelleri,105427,Xenopus petersii,288555,genus
Xenopus fischbergi,451448,Xenopus petersii,288555,genus
Epidalea calamita,30326,Anaxyrus boreas,30325,family
Hyla meridionalis,272192,Hyla sarda,327740,genus
Pelodytes punctatus,43542,Pelodytes ibericus,233781,genus
Pelophylax perezi,8403,Pelophylax lessonae,45623,genus
Apus pallidus,1160816,Apus apus,8895,genus
Gazella dorcas,37751,Bubalus kerabau,3119969,family
Gazella cuvieri,69301,Bubalus kerabau,3119969,family
Connochaetes gnou,59528,Connochaetes taurinus,9927,genus
Axis axis,30531,Axis porcinus,57737,genus
Potamochoerus porcus,273791,Phacochoerus africanus,41426,family
Capra pyrenaica,80419,Capra aegagrus,9923,genus
Sargocentron diadema,47709,Myripristis murdjan,586833,family
Penelopides panini,175834,Tockus erythrorhynchus,81911,family
Carcharhinus plumbeus,7808,Carcharhinus longimanus,302049,genus
Carcharhinus melanopterus,263686,Carcharhinus longimanus,302049,genus
Leopardus pardalis,32538,Leopardus geoffroyi,46844,genus
Ailurus fulgens,9649,Ailurus styani,424585,genus
Aonyx cinereus,452597,Neogale vison,452646,family
Triturus marmoratus,8328,Triturus cristatus,8323,genus
Calotriton asper,30374,Calotriton arnoldi,342570,genus
Salamandra salamandra,57571,Lissotriton helveticus,256425,family
Pteropus lylei,166054,Pteropus rufus,196297,genus
Astronotus ocellatus,50733,Etroplus suratensis,238232,family
Geronticus eremita,100822,Theristicus caerulescens,1118847,family
Platalea leucorodia,257867,Platalea minor,259913,genus
Platalea ajaja,371920,Platalea minor,259913,genus
Ixobrychus minutus,498209,Gorsachius magnificus,887050,family
Columba palumbus,8934,Columba livia,8932,genus
Ptilinopus melanospilus,187138,Streptopelia turtur,177155,family
Zenaida graysoni,115709,Streptopelia turtur,177155,family
Gallicolumba luzonica,187121,Streptopelia turtur,177155,family
Ptilinopus superbus,187139,Streptopelia turtur,177155,family
Dacelo novaeguineae,8939,Todiramphus chloris,325347,family
Osteolaemus tetraspis,184242,Crocodylus porosus,8502,family
Musophaga violacea,103959,Tauraco hartlaubi,56304,family
Crinifer piscator,119408,Tauraco hartlaubi,56304,family
Tauraco schalowi,119419,Tauraco hartlaubi,56304,genus
Lophura edwardsi,9043,Lophura swinhoii,140446,genus
Polyplectron napoleonis,30403,Pavo cristatus,9049,family
