"taxon_id","scientific_name","common_name","alternative_name","genus","subfamily","family","order","class","iucn_category","genome","annotation","zoonomia","samples","sex","cell_line","i_psc","sample","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession"
"433628","Butorides striata","Striated heron,[""green-backed heron""]",NA,"Butorides",NA,"Ardeidae","Pelecaniformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,2,"M/M","Fibro",NA,NA,NA,NA,NA,NA,"2023-04-03",NA,1359420000,32,2,NA,NA,NA,NA
"8839","Anas platyrhynchos","Mallard,[""Mallard""]",NA,"Anas",NA,"Anatidae","Anseriformes","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,"-","No cell line",NA,NA,"Chromosome",76269206,5679408,25093,"2020-11-23",96.7,1418100000,40,2,"insdc_open","104.0","ASM874695v1","GCA_008746955.1"
"30388","Chauna torquata","Southern screamer,[""southern screamer""]",NA,"Chauna",NA,"Anhimidae","Anseriformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,1,"M","Fibro",NA,"Trachea","Scaffold",232486,39550,15083,"2020-07-10",90.5,1364310000,40,2,"insdc_open",NA,NA,NA
"8868","Cygnus atratus","Black swan,[""Black swan""]",NA,"Cygnus",NA,"Anatidae","Anseriformes","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,"F","Fibro",NA,"Trachea/Tissue","Chromosome",84552148,28995010,18459,"2022-08-03",97.2,1418100000,40,2,"insdc_open","GCF_013377495.2-RS_2023_02",NA,NA
"75875","Marmaronetta angustirostris","Marbled Teal,[""Marbled teal""]",NA,"Marmaronetta",NA,"Anatidae","Anseriformes","Birds","VULNERABLE",TRUE,FALSE,FALSE,1,"F","No cell line",NA,NA,NA,NA,NA,NA,NA,NA,1349640000,40,2,"in_progress",NA,NA,NA
"541013","Netta peposaca","Rosy-billed Pochard,[""rosy-billed pochard""]",NA,"Netta",NA,"Anatidae","Anseriformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,1,"F","No cell line",NA,"Tissue (trachea)",NA,NA,NA,NA,NA,NA,1349640000,41,2,"in_progress",NA,NA,NA
"30387","Netta rufina","Red-crested Pochard,[""Red-crested Pochard""]",NA,"Netta",NA,"Anatidae","Anseriformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,1,"-","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,1349640000,41,2,"in_progress",NA,NA,NA
"197464","Agalychnis callidryas","Red-eyed Treefrog,[""red-eyed leaf frog""]",NA,"Agalychnis",NA,"Hylidae","Anura","Amphibia","LEAST CONCERN",TRUE,FALSE,FALSE,1,NA,"No cell line",NA,"Tissue",NA,NA,NA,NA,NA,NA,6518370000,13,2,NA,NA,NA,NA
"97955","Alytes muletensis","Mallorcan midwife toad,[""Mallorcan midwife toad""]",NA,"Alytes",NA,"Alytidae","Anura","Amphibia","ENDANGERED",TRUE,FALSE,FALSE,1,"U/M","No cell line",NA,"Tissue (skin)",NA,NA,NA,NA,NA,NA,8058720000,14,4,NA,NA,NA,NA
"8895","Apus apus","Common swift,[""Common Swift""]",NA,"Apus",NA,"Apodidae","Apodiformes","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,NA,"Fibro",NA,NA,"Chromosome",115508478,25561769,16724,"2021-11-04",NA,1251840000,39,2,"insdc_open","GCF_020740795.1-RS_2023_02",NA,NA
"1160816","Apus pallidus","Pallid Swift,[""Pallid Swift""]",NA,"Apus",NA,"Apodidae","Apodiformes","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,3,"-/-/-","No cell line",NA,NA,NA,NA,NA,NA,NA,NA,1251840000,35,2,"sample_collected",NA,NA,NA
"59515","Addax nasomaculatus","Addax,[""Addax""]",NA,"Addax","Hippotraginae","Bovidae","Artiodactyla","Mammalia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,2,NA,"PBMc",NA,"Blood","Scaffold",20757513,17026,NA,"2021-08-13",91.6,3892440000,28,2,"insdc_open",NA,NA,NA
"9897","Aepyceros melampus","Impala,[""Impala""]",NA,"Aepyceros","Aepycerotinae","Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,8,NA,"Fibro",NA,"Tissue (ear)","Scaffold",344542,82459,NA,"2019-06-24",72.2,4586820000,30,2,"insdc_open",NA,NA,NA
"9899","Ammotragus lervia","Barbary Sheep,[""aoudad""]",NA,"Ammotragus","Caprinae","Bovidae","Artiodactyla","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,4,"M/U/M/U","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",94.3,3195615000,29,2,NA,NA,NA,NA
"30531","Axis axis","Spotted deer,[""chital""]",NA,"Axis",NA,"Cervidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"F","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3168720000,33,2,NA,NA,NA,NA
"59527","Beatragus hunteri",NA,NA,"Beatragus",NA,"Bovidae","Artiodactyla","Mammalia","CRITICALLY ENDANGERED",TRUE,TRUE,TRUE,1,NA,"Fibro",NA,"Tissue","Scaffold",69303,57444,NA,"2019-01-16",NA,3853320000,19,2,"published",NA,NA,NA
"9902","Bison bonasus","Bison,[""European bison""]",NA,"Bison","Bovinae","Bovidae","Artiodactyla","Mammalia","NEAR THREATENED",TRUE,FALSE,FALSE,3,"F/F/-","Fibro/PBMc",NA,"Blood/Tissue",NA,NA,NA,NA,"2023-04-03",NA,4792200000,30,2,NA,NA,NA,NA
"30521","Bos grunniens","Domestic yak,[""domestic yak""]",NA,"Bos",NA,"Bovidae","Artiodactyla","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,1,"F","Fibro",NA,"Tissue","Chromosome",114386978,44716738,NA,"2019-06-10",NA,3569700000,30,2,"insdc_open",NA,"LU_Bosgru_v3.0","GCA_005887515.1"
"9837","Camelus bactrianus","Bactrian Camel,[""Two-humped camel""]",NA,"Camelus",NA,"Camelidae","Artiodactyla","Mammalia","CRITICALLY ENDANGERED",TRUE,TRUE,TRUE,1,"M","Fibro",NA,"Tissue","Scaffold",8812066,139067,29764,"2014-10-23",92.3,2577030000,35,2,"insdc_open","102.0",NA,NA
"9925","Capra hircus","Domestic goat,[""Domestic goat""]",NA,"Capra",NA,"Bovidae","Artiodactyla","Mammalia","NA",TRUE,TRUE,TRUE,3,"F/M/F","Fibro",NA,"Tissue","Chromosome",87277232,26244591,28911,"2016-08-24",NA,3168720000,30,2,"insdc_open","102.0","ARS1","GCA_001704415.1"
"80419","Capra pyrenaica","Spanish ibex,[""Spanish ibex""]",NA,"Capra",NA,"Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"M","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3163830000,30,2,"sample_acquired",NA,NA,NA
"56798","Hexaprotodon liberiensis","Pygmi Hippopotamus,[""pygmy hippopotamus""]","Choeropsis liberiensis","Hexaprotodon",NA,"Hippopotamidae","Artiodactyla","Mammalia","ENDANGERED",TRUE,FALSE,FALSE,1,"F","Fibro",NA,"Tissue (skin)","Chromosome",142594368,20244513,NA,"2022-04-22",NA,3041580000,18,2,"insdc_open",NA,NA,NA
"59528","Connochaetes gnou","Black Wildebeest,[""black wildebeest""]",NA,"Connochaetes",NA,"Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"M","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3853320000,29,2,NA,NA,NA,NA
