"taxon_id","scientific_name","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession","common_name","alternative_name","subspecies","genus","subfamily","family"
"223492","Parabuteo unicinctus","Parabuteo unicinctus","Accipitriformes","Aves","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,1,0,0,0,0,"Trachea","species","Parabuteo unicinctus","Scaffold",34879618,1227,NA,"2022-09-20",NA,1398540000,34,2,"insdc_open",NA,NA,NA,"Harris' hawk/bay-winged hawk,Harris's hawk",NA,NA,"Parabuteo",NA,"Accipitridae"
"8957","Accipiter gentilis","Accipiter gentilis","Accipitriformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Trachea/Skin","species","Accipiter gentilis","Chromosome",35025567,17712854,19564,"2022-10-27",97.5,1305630000,39,2,"insdc_open","GCF_929443795.1-RS_2023_02",NA,NA,"Northern Goshawk",NA,NA,"Accipiter",NA,"Accipitridae"
"8839","Anas platyrhynchos","Anas platyrhynchos","Anseriformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,NA,"species","Anas platyrhynchos","Chromosome",76269206,5679408,25093,"2020-11-23",96.7,1418100000,40,2,"insdc_open","104.0","ASM874695v1","GCA_008746955.1","Mallard",NA,NA,"Anas",NA,"Anatidae"
"30388","Chauna torquata","Chauna torquata","Anseriformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,"Trachea","species","Chauna torquata","Scaffold",232486,39550,15083,"2020-07-10",90.5,1364310000,40,2,"insdc_open",NA,NA,NA,"Southern screamer,southern screamer",NA,NA,"Chauna",NA,"Anhimidae"
"8868","Cygnus atratus","Cygnus atratus","Anseriformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,"Trachea/Tissue","species","Cygnus atratus","Chromosome",84552148,28995010,18459,"2022-08-03",97.2,1418100000,40,2,"insdc_open","GCF_013377495.2-RS_2023_02",NA,NA,"Black swan",NA,NA,"Cygnus",NA,"Anatidae"
"8895","Apus apus","Apus apus","Apodiformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,NA,"species","Apus apus","Chromosome",115508478,25561769,16724,"2021-11-04",NA,1251840000,39,2,"insdc_open","GCF_020740795.1-RS_2023_02",NA,NA,"Common swift,Common Swift",NA,NA,"Apus",NA,"Apodidae"
"67940","Nanger dama","Nanger dama","Artiodactyla","Mammalia","Mammalia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,14,7,7,0,0,"blood/placenta/ombelical cord","species","Nanger dama","Scaffold",37125998,37125998,NA,"2021-11-18",NA,3403440000,15,2,"insdc_open",NA,NA,NA,"Dama Gazelle,Dama gazelle",NA,NA,"Nanger","Antilopinae","Bovidae"
"9897","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,8,4,4,0,0,"Tissue (ear)","species","Aepyceros melampus","Scaffold",344542,82459,NA,"2019-06-24",72.2,4586820000,30,2,"insdc_open",NA,NA,NA,"Impala",NA,NA,"Aepyceros","Aepycerotinae","Bovidae"
"56798","Hexaprotodon liberiensis","Hexaprotodon liberiensis","Artiodactyla","Mammalia","Mammalia","ENDANGERED",TRUE,FALSE,FALSE,1,1,1,0,0,"Tissue (skin)","species","Hexaprotodon liberiensis","Chromosome",142594368,20244513,NA,"2022-04-22",NA,3041580000,18,2,"insdc_open",NA,NA,NA,"Pygmi Hippopotamus,pygmy hippopotamus","Choeropsis liberiensis",NA,"Hexaprotodon",NA,"Hippopotamidae"
"9958","Oryx gazella","Oryx gazella","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Oryx gazella","Scaffold",1579191,19498,NA,"2018-12-14",NA,3892440000,28,2,"insdc_open",NA,NA,NA,"Gemsbok,gemsbok","Oryx gazelle",NA,"Oryx","Antilopinae","Bovidae"
"59515","Addax nasomaculatus","Addax nasomaculatus","Artiodactyla","Mammalia","Mammalia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,2,2,0,2,0,"Blood","species","Addax nasomaculatus","Scaffold",20757513,17026,NA,"2021-08-13",91.6,3892440000,28,2,"insdc_open",NA,NA,NA,"Addax",NA,NA,"Addax","Hippotraginae","Bovidae"
"9894","Giraffa camelopardalis","Giraffa camelopardalis","Artiodactyla","Mammalia","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,2,2,2,0,0,NA,"species","Giraffa camelopardalis","Scaffold",3153258,25056,NA,"2023-04-03",NA,2709060000,15,2,"insdc_open",NA,NA,NA,"Cameleopardis giraffe,Reticulated giraffe",NA,NA,"Giraffa",NA,"Giraffidae"
"9840","Lama guanicoe","Lama guanicoe","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,3,2,2,0,0,NA,"species","Lama guanicoe","Scaffold",14786206,343812,NA,"2023-04-03",NA,3139380000,37,2,"insdc_open",NA,NA,NA,"Guanaco",NA,NA,"Lama",NA,"Camelidae"
"9927","Connochaetes taurinus","Connochaetes taurinus","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,NA,"species","Connochaetes taurinus","Scaffold",366224,70608,NA,"2019-06-24",NA,3853320000,29,2,"insdc_open",NA,NA,NA,"Ble Wildebeest,brindled gnu",NA,NA,"Connochaetes","Alcelaphinae","Bovidae"
"59531","Kobus leche","Kobus leche","Artiodactyla","Mammalia","Mammalia","NEAR THREATENED",TRUE,TRUE,TRUE,1,1,0,1,0,"Blood","species","Kobus leche","Scaffold",3233651,66923,NA,"2023-04-03",NA,3853320000,25,2,"insdc_open",NA,NA,NA,"Kobus leche,lechwe","Southern Lechwe",NA,"Kobus","Reduncinae","Bovidae"
"9837","Camelus bactrianus","Camelus bactrianus","Artiodactyla","Mammalia","Mammalia","CRITICALLY ENDANGERED",TRUE,TRUE,TRUE,2,2,2,0,0,"Tissue","species","Camelus bactrianus","Scaffold",8812066,139067,29764,"2014-10-23",92.3,2577030000,35,2,"insdc_open","102.0",NA,NA,"Bactrian Camel,Two-humped camel",NA,NA,"Camelus",NA,"Camelidae"
"69297","Tragelaphus eurycerus","Tragelaphus eurycerus","Artiodactyla","Mammalia","Mammalia","NEAR THREATENED",TRUE,FALSE,FALSE,2,1,1,0,0,"Tissue","species","Tragelaphus eurycerus","Contig",21206903,21206903,NA,"2022-03-28",NA,3853320000,15,2,"insdc_open",NA,NA,NA,"Bongo,bongo",NA,NA,"Tragelaphus",NA,"Bovidae"
"9823","Sus scrofa","Sus scrofa","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Sus scrofa","Chromosome",88231837,48231277,30371,"2017-02-07",NA,2885100000,18,2,"insdc_open","106.0","Sscrofa11.1","GCA_000003025.6","Wild boar,pig",NA,NA,"Sus","Suinae","Suidae"
"59534","Oryx dammah","Oryx dammah","Artiodactyla","Mammalia","Mammalia","EXTINCT IN THE WILD",TRUE,TRUE,TRUE,3,2,2,0,1,"Tissue","species","Oryx dammah","Scaffold",100398400,374342,32423,"2020-09-25",NA,3892440000,28,2,"insdc_open","100.0",NA,NA,"Scimitar-horned Oryx,scimitar-horned oryx",NA,NA,"Oryx","Antilopinae","Bovidae"
"9870","Rangifer tarandus","Rangifer tarandus","Artiodactyla","Mammalia","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,3,3,3,0,0,"Tissue/ovaries","species","Rangifer tarandus","Scaffold",986392,128565,NA,"2023-04-03",NA,3334980000,35,2,"published",NA,NA,NA,"Reindeer,Reindeer, caribou",NA,NA,"Rangifer",NA,"Cervidae"
"9925","Capra hircus","Capra hircus","Artiodactyla","Mammalia","Mammalia","NA",TRUE,TRUE,TRUE,3,2,2,0,0,"Tissue","species","Capra hircus","Chromosome",87277232,26244591,28911,"2016-08-24",NA,3168720000,30,2,"insdc_open","102.0","ARS1","GCA_001704415.1","Domestic goat",NA,NA,"Capra",NA,"Bovidae"
"43332","Elaphurus davidianus","Elaphurus davidianus","Artiodactyla","Mammalia","Mammalia","EXTINCT IN THE WILD",TRUE,TRUE,TRUE,4,4,4,0,0,"Tissue (ear)","species","Elaphurus davidianus","Scaffold",3039716,32707,NA,"2021-12-01",94,3168720000,34,2,"insdc_open",NA,NA,NA,"Père David's deer,Pere David's deer",NA,NA,"Elaphurus",NA,"Cervidae"
"59527","Beatragus hunteri","Beatragus hunteri","Artiodactyla","Mammalia","Mammalia","CRITICALLY ENDANGERED",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Beatragus hunteri","Scaffold",69303,57444,NA,"2019-01-16",NA,3853320000,19,2,"published",NA,NA,NA,NA,NA,NA,"Beatragus",NA,"Bovidae"
"30521","Bos grunniens","Bos grunniens","Artiodactyla","Mammalia","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,2,2,2,0,0,"Tissue","species","Bos grunniens","Chromosome",114386978,44716738,NA,"2019-06-10",NA,3569700000,30,2,"insdc_open",NA,"LU_Bosgru_v3.0","GCA_005887515.1","Domestic yak,domestic yak",NA,NA,"Bos",NA,"Bovidae"
"9940","Ovis aries musimon","Ovis aries","Artiodactyla","Mammalia","Mammalia","NA",TRUE,TRUE,FALSE,3,3,3,0,0,"Tissue","species","Ovis aries","Chromosome",101274418,43178051,33801,"2021-02-03",NA,3227400000,27,2,"insdc_open","104.0","Oar_rambouillet_v1.0","GCA_002742125.1","Mouflon,Sheep",NA,"musimon","Ovis",NA,"Bovidae"
"9901","Bison bison","Bison bison","Artiodactyla","Mammalia","Mammalia","NEAR THREATENED",TRUE,TRUE,TRUE,3,1,1,0,0,"Tissue","species","Bison bison","Scaffold",7192658,19971,NA,"2023-04-03",NA,4792200000,30,2,"insdc_open",NA,NA,NA,"American bison,Buffalo",NA,NA,"Bison",NA,"Bovidae"
