"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x14","iucn","iPSC","status","superclass"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH20-05342/13650","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A216/A207","A216","A207",NA,"*A216/A207*",NA,NA,"CR",FALSE,TRUE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","11268.0",NA,NA,"Fibro","DNA","K",NA,NA,"Nanger Dama Mohr a85","A85","A85",NA,NA,"*A85*",NA,"https://www.iucnredlist.org/species/8968/50186128","CR",FALSE,TRUE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH19-05159","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A20","A20",NA,NA,"*A20*",NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=67940","CR",FALSE,FALSE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH19-05123","CAPTIVE","F","Fibro","DNA","SEQ",NA,NA,NA,"A19","A19",NA,NA,"*A19*","ORGONE_02","https://animaldiversity.org/accounts/Nanger_dama/","CR",FALSE,TRUE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-29591142/BARCELONA / 11341","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A156/A405","A156","A405",NA,NA,NA,NA,"CR",FALSE,FALSE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-28152170/BARCELONA13063","CAPTIVE","M","Fibro","K",NA,NA,NA,"Nanger Dama Mhorr A171","A171","A171",NA,NA,"*A171*",NA,NA,"CR",FALSE,TRUE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","13640/ZIMS?","CAPTIVE",NA,"Fibro",NA,NA,NA,NA,NA,"A215","A215",NA,NA,NA,NA,NA,"CR",FALSE,TRUE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH22-06087","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A334","A334",NA,NA,NA,NA,NA,"CR",FALSE,FALSE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH22-06088","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A335","A335",NA,NA,NA,NA,NA,"CR",FALSE,FALSE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-29854099/MADRID Z / GAD26","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A393","A393",NA,NA,NA,NA,NA,"CR",FALSE,FALSE,"Mammalia"
"1.0","Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH16-04153/barcelona/12778","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A397","A397",NA,NA,NA,NA,NA,"CR",FALSE,FALSE,"Mammalia"
