"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x13","iucn","superclass","data","status","iPSC"
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR193 son of TOR18+TOR16","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A3","A3",NA,NA,"*A3*",NA,NA,"CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH19-05277-IA","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A6","A6",NA,NA,"*A6*",NA,"Calotriton arnoldi (iucnredlist.org)","CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A17","A17",NA,NA,"*A17*",NA,"Taxonomy browser (Calotriton arnoldi) (nih.gov)","CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A28","A28",NA,NA,"*A28*","ORGONE_10_2",NA,"CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR192, Any 2012, male","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A83","A83",NA,NA,"*A83*",NA,NA,"CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A188","A188",NA,NA,"*A188*",NA,NA,"CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A220","A220",NA,NA,"*A220*",NA,NA,"CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A285","A285",NA,NA,"*A285*",NA,NA,"CR","Amphibian",NA,FALSE,FALSE
"1.0","Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A364","A364",NA,NA,"*A364*",NA,NA,"CR","Amphibian",NA,FALSE,FALSE
"2.0","Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","MIG12-30088849","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A41","A41",NA,NA,"*A41*",NA,"https://www.iucnredlist.org/species/1095/53947343","CR","Amphibian",NA,FALSE,FALSE
"2.0","Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","-","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A351","A351",NA,NA,"*A351*",NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi","CR","Amphibian",NA,FALSE,FALSE
"2.0","Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","-","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A352","A352",NA,NA,"*A352*",NA,NA,"CR","Amphibian",NA,FALSE,FALSE
"3.0","Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae","-","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A203","A203",NA,NA,"*A203*",NA,NA,"NT","Amphibian",NA,FALSE,FALSE
"3.0","Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae","QGH23-06328-IA","-","U","Primary",NA,NA,NA,NA,NA,"A454","A454",NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8319&lvl=3&lin=f&keep=1&srchmode=1&unlock","NT","Amphibian",NA,FALSE,FALSE
"3.0","Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae",NA,NA,"U","Fibro",NA,NA,NA,NA,NA,"A496","A496",NA,NA,NA,NA,NA,"NT","Amphibian",NA,TRUE,FALSE
"4.0","Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae","MIG12-29917973","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A26","A26",NA,NA,"*A26*",NA,"https://www.iucnredlist.org/species/977/89697685","EN","Amphibian",NA,FALSE,FALSE
