"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","link","dna","karyo","rna","seq"
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR193 son of TOR18+TOR16","CAPTIVE",NA,"Primary",NA,"Cal_Arn_1","A3",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH19-05277-IA","CAPTIVE",NA,"Primary",NA,"Cal_Arn_2","A6",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Calotriton arnoldi (iucnredlist.org)",FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,"Cal_Arn_3","A17",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn","Taxonomy browser (Calotriton arnoldi) (nih.gov)",FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","QGH20-05351-IA","CAPTIVE",NA,"Primary",NA,"Cal_Arn_4","A28",NA,NA,"ORGONE_10_2","CR","Amphibian",FALSE,FALSE,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae","OR192, Any 2012, male","CAPTIVE",NA,"Primary",NA,"Cal_Arn_5","A83",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_6","A188",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_7","A220",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_8","A285",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE
"Calotriton arnoldi","Calotriton arnoldi",NA,"Montseny Brook newt","Salamandridae",NA,NA,NA,"Primary",NA,"Cal_Arn_9","A364",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Cal_Arn",NA,FALSE,FALSE,FALSE,FALSE
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","MIG12-30088849","CAPTIVE",NA,"Primary",NA,"Amb_Mex_1","A41",NA,NA,NA,"CR","Amphibian",FALSE,FALSE,"Amb_Mex","https://www.iucnredlist.org/species/1095/53947343",FALSE,FALSE,FALSE,FALSE
