"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","data","iucn","superclass","status","iPSC"
"1.0","Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A376","A376",NA,NA,"*A376*",NA,"https://www.iucnredlist.org/species/19855/9026693","LC","Fish",FALSE,FALSE
"1.0","Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A138","A138",NA,NA,"*A138*",NA,"https://www.miteco.gob.es/en/biodiversidad/temas/inventarios-nacionales/09047122800af6b3_tcm38-199078.pdf","LC","Fish",FALSE,FALSE
"1.0","Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A223","A223",NA,NA,"*A223*",NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=97955","LC","Fish",FALSE,FALSE
"1.0","Salmo salar","Salmo salar",NA,"Atlantic Samon","Salmonidae","-",NA,"Primary",NA,NA,NA,NA,NA,"A349","A349",NA,NA,"*A349*",NA,"https://animaldiversity.org/accounts/Salmo_salar/","LC","Fish",FALSE,FALSE
"2.0","Carcharhinus amblyrhynchos","Carcharhinus amblyrhynchos",NA,"Sandbar shark","Carcharhinidae","WKP18-01472/MADRID Z / TG05","CAPTIVE","Primary",NA,NA,NA,NA,NA,"A145","A145",NA,NA,"*A145*",NA,"https://www.iucnredlist.org/species/39365/173433550","EN","Fish",FALSE,FALSE
"3.0","Scyliorhinus stellaris","Scyliorhinus stellaris",NA,"Nursehound","Scyliorhinidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A225","A225",NA,NA,NA,NA,NA,"VU","Fish",FALSE,FALSE
"4.0","Ginglymostoma cirratum","Ginglymostoma cirratum",NA,"Nurse shark","Ginglymostomatidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A240","A240",NA,NA,"*A240*",NA,NA,"VU","Fish",FALSE,FALSE
"5.0","Chiloscyllium punctatum","Chiloscyllium punctatum",NA,"Grey Carpetshark","Hemiscylliidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A249","A249",NA,NA,"*A249*",NA,NA,"NT","Fish",FALSE,FALSE
"6.0","Hemiscyllium ocellatum","Hemiscyllium ocellatum",NA,"Epaulette Shark","Hemiscylliidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A252","A252",NA,NA,"*A252*",NA,NA,"LC","Fish",FALSE,FALSE
"7.0","Diplodus vulgaris","Diplodus vulgaris",NA,"Seabream","Sparidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A31O","A31O",NA,NA,"*A31O*",NA,"https://www.iucnredlist.org/species/170261/1304171","LC","Fish",FALSE,FALSE
"8.0","Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A445","A445",NA,NA,"*A445*",NA,"https://www.iucnredlist.org/species/10082/17025021","NT","Fish",FALSE,FALSE
"8.0","Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A478","A478",NA,NA,NA,NA,NA,"NT","Fish",FALSE,FALSE
"8.0","Hippocampus reidi","Hippocampus reidi",NA,"Long-snout Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A484","A484",NA,NA,NA,NA,NA,"NT","Fish",FALSE,FALSE
"9.0","Hippocampus abdominalis","Hippocampus abdominalis",NA,"Pot-bellied Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A444","A444",NA,NA,"*A444*",NA,"https://www.iucnredlist.org/species/10057/54903879","LC","Fish",FALSE,FALSE
"9.0","Hippocampus abdominalis","Hippocampus abdominalis",NA,"Pot-bellied Seahorse","Syngnathidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A377","A377",NA,NA,"*A377*",NA,NA,"LC","Fish",FALSE,FALSE
"10.0","Sargocentron diadema","Sargocentron diadema",NA,"Crown Squirrelfish","Holocentridae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A443","A443",NA,NA,"*A443*",NA,"https://www.iucnredlist.org/species/67901205/115442185","LC","Fish",FALSE,FALSE
"11.0","Engraulis encrasicolus","Engraulis encrasicolus",NA,"European Anchovy","Engraulidae",NA,NA,"Primary",NA,NA,NA,NA,NA,"A442","A442",NA,NA,"*A442*",NA,"https://www.iucnredlist.org/species/198568/15546291","LC","Fish",FALSE,FALSE
