"scientific_name"
"Jacana jacana"
"Ciconia ciconia"
"Colius striatus"
"Falco naumanni"
"Rhea americana"
"Bucorvus leadbeateri"
"Apus apus"
"Dromaius novaehollandiae"
"Halcyon malimbica"
"Phoenicopterus ruber"
"Spheniscus demersus"
"Spheniscus humboldti"
"Casuarius casuarius"
"Apus pallidus"
"Dacelo novaeguineae"
"Phoenicopterus roseus"
"Ramphastos toco"
"Trachyphonus erythrocephalus"
"Parabuteo unicinctus"
"Accipiter gentilis"
"Tauraco erythrolophus"
"Haliaeetus leucocephalus"
"Musophaga violacea"
"Tauraco leucotis"
"Gallus gallus domestic"
"Pavo cristatus"
"Psophia crepitans"
"Eurypyga helias"
"Tyto alba"
"Bubo scandiacus"
"Lophura edwardsi"
"Polyplectron napoleonis"
"Gallinula chloropus"
"Balearica pavonina"
"Otus scops scops"
"Strix aluco"
"Anas platyrhynchos"
"Chauna torquata"
"Cygnus atratus"
"Columba livia"
"Caloenas nicobarica"
"Marmaronetta angustirostris"
"Netta peposaca"
"Netta rufina"
"Cygnus melancoryphus"
"Streptopelia decaocto"
"Columba palumbus"
"Ptilinopus melanospilus"
"Zenaida graysoni"
"Gallicolumba luzonica"
"Lamprotornis superbus"
"Hirundo rustica"
"Scissirostrum dubium"
"Ficedula hypoleuca"
"Chloris chloris"
"Delichon urbicum"
"Carduelis carduelis"
"Lanius senator"
"Cyanocorax yncas"
"Nycticorax nycticorax"
"Threskiornis aethiopicus"
"Pelecanus crispus"
"Butorides striata"
"Geronticus eremita"
"Platalea leucorodia"
"Plegadis falcinellus"
"Eudocimus ruber"
"Platalea ajaja"
"Ixobrychus minutus"
"Guaruba guarouba"
"Eclectus roratus"
"Anodorhynchus hyacinthinus"
"Amazona autumnalis"
"Aratinga solstitialis"
"Ara chloropterus"
"Amazona aestiva"
"Ara ararauna"
"Ara rubrogenys"
"Trichoglossus moluccanus"
"Agapornis nigrigenis"
"Eos reticulata"
"Amazona brasiliensis"
