"row","column","cryotube","box","type","animal_ID","passage","type2","info"
6,3,"CHIMPA P1 12/3/20 A11??","BOX8_N2_RACK2","N2","A11",1,"Fibroblast","CHIMPA  12/3/20 ??"
6,4,"CHIMPA P1 12/3/20 A11??","BOX8_N2_RACK2","N2","A11",1,"Fibroblast","CHIMPA  12/3/20 ??"
7,1,"A11  P2","BOX9._N2_RACK2","N2","A11",2,"Fibroblast","  "
7,4,"A11 P2","BOX9._N2_RACK2","N2","A11",2,"Fibroblast"," "
7,2,"A11 P3","BOX9._N2_RACK2","N2","A11",3,"Fibroblast"," "
7,3,"A11 P3","BOX9._N2_RACK2","N2","A11",3,"Fibroblast"," "
6,9,"A157","BOX1_N2_RACK2","N2","A157",-1,"other",""
1,1,"A157","BOX7_N2_RACK2","N2","A157",-1,"other",""
1,2,"A157","BOX7_N2_RACK2","N2","A157",-1,"other",""
1,5,"A157 0rang P?","BOX7_N2_RACK2","N2","A157",-1,"other"," 0rang P?"
5,9,"A157 FIBROS","BOX2_N2_RACK2","N2","A157",0,"Fibroblast"," FIBROS"
8,4,"A260 P0","BOX3_N2_RACK2","N2","A260",0,"Fibroblast"," "
4,10,"A260 P1","BOX11_N2_RACK2","N2","A260",1,"Fibroblast"," "
3,2,"A260 P2","BOX5_N2_RACK2","N2","A260",2,"Fibroblast"," "
5,5,"A260 P2","BOX5_N2_RACK2","N2","A260",2,"Fibroblast"," "
3,1,"A274 P1","BOX5_N2_RACK2","N2","A274",1,"Fibroblast"," "
5,4,"A274 P1","BOX5_N2_RACK2","N2","A274",1,"Fibroblast"," "
4,1,"A274 P2","BOX5_N2_RACK2","N2","A274",2,"Fibroblast"," "
4,4,"A278 P0 SKIN","BOX5_N2_RACK2","N2","A278",0,"Fibroblast","  SKIN"
4,6,"A278 P0 SKIN","BOX5_N2_RACK2","N2","A278",0,"Fibroblast","  SKIN"
3,7,"A278 P1","BOX5_N2_RACK2","N2","A278",1,"Fibroblast"," "
4,5,"A278 P2 SKIN","BOX5_N2_RACK2","N2","A278",2,"Fibroblast","  SKIN"
7,7,"A301 P0","BOX5_N2_RACK2","N2","A301",0,"Fibroblast"," "
9,2,"A301 P0","BOX5_N2_RACK2","N2","A301",0,"Fibroblast"," "
9,5,"A301 P1","BOX5_N2_RACK2","N2","A301",1,"Fibroblast"," "
6,3,"A357 P0","BOX3_N2_RACK2","N2","A357",0,"Fibroblast"," "
6,4,"A357 P0","BOX3_N2_RACK2","N2","A357",0,"Fibroblast"," "
