"row","column","cryotube","box","type","animal_ID","passage","type2","info","CT_total","n_passages","max_passage","CT_per_passage"
6,3,"CHIMPA P1 12/3/20 A11??","BOX8_N2_RACK2","N2","A11",1,"Fibroblast","CHIMPA  12/3/20 ??",6,3,3,2
6,4,"CHIMPA P1 12/3/20 A11??","BOX8_N2_RACK2","N2","A11",1,"Fibroblast","CHIMPA  12/3/20 ??",6,3,3,2
9,8,"A176 P2","BOX1_N2_RACK2","N2","A176",2,"Fibroblast"," ",9,4,3,4
9,10,"A176 P2","BOX1_N2_RACK2","N2","A176",2,"Fibroblast"," ",9,4,3,4
8,8,"A176 P2","BOX2_N2_RACK2","N2","A176",2,"Fibroblast"," ",9,4,3,4
9,4,"A176 P2","BOX2_N2_RACK2","N2","A176",2,"Fibroblast"," ",9,4,3,4
2,8,"A183 P3","BOX1_N2_RACK2","N2","A183",3,"Fibroblast"," ",5,4,5,2
7,3,"A183 P3","BOX3_N2_RACK2","N2","A183",3,"Fibroblast"," ",5,4,5,2
9,1,"A19 P1","BOX1_N2_RACK2","N2","A19",1,"Fibroblast"," ",7,3,4,4
9,2,"A19 P1","BOX1_N2_RACK2","N2","A19",1,"Fibroblast"," ",7,3,4,4
6,4,"A19 P1","BOX7_N2_RACK2","N2","A19",1,"Fibroblast"," ",7,3,4,4
6,5,"A19 P1","BOX7_N2_RACK2","N2","A19",1,"Fibroblast"," ",7,3,4,4
2,10,"A194 P4","BOX1_N2_RACK2","N2","A194",4,"Fibroblast"," ",7,5,5,2
3,4,"A194 P4","BOX1_N2_RACK2","N2","A194",4,"Fibroblast"," ",7,5,5,2
6,10,"A239 P1","BOX3_N2_RACK2","N2","A239",1,"Fibroblast"," ",5,4,3,1
2,7,"A307 P1","BOX6_N2_RACK2","N2","A307",1,"Fibroblast"," ",5,3,2,2
3,5,"A307 P1","BOX6_N2_RACK2","N2","A307",1,"Fibroblast"," ",5,3,2,2
3,4,"A318 P1","BOX3_N2_RACK2","N2","A318",1,"Fibroblast"," ",9,3,2,4
3,8,"A318 P1","BOX3_N2_RACK2","N2","A318",1,"Fibroblast"," ",9,3,2,4
10,6,"A318 P1","BOX11_N2_RACK2","N2","A318",1,"Fibroblast"," ",9,3,2,4
10,7,"A318 P1","BOX11_N2_RACK2","N2","A318",1,"Fibroblast"," ",9,3,2,4
1,2,"A32 jaguar fibros p1 
mesen 20/01/21","BOX1_N2_RACK2","N2","A32",1,"Fibroblast"," jaguar fibros  
mesen 20/01/21",10,4,5,5
1,3,"A32 jaguar fibros p1 
mesen 20/01/21","BOX1_N2_RACK2","N2","A32",1,"Fibroblast"," jaguar fibros  
mesen 20/01/21",10,4,5,5
6,10,"A32 P1","BOX1_N2_RACK2","N2","A32",1,"Fibroblast"," ",10,4,5,5
7,9,"A32 P1","BOX1_N2_RACK2","N2","A32",1,"Fibroblast"," ",10,4,5,5
8,1,"A32 P1","BOX1_N2_RACK2","N2","A32",1,"Fibroblast"," ",10,4,5,5
5,3,"A357 P1","BOX3_N2_RACK2","N2","A357",1,"Fibroblast"," ",13,4,3,6
5,4,"A357 P1","BOX3_N2_RACK2","N2","A357",1,"Fibroblast"," ",13,4,3,6
5,5,"A357 P1","BOX3_N2_RACK2","N2","A357",1,"Fibroblast"," ",13,4,3,6
5,6,"A357 P1","BOX3_N2_RACK2","N2","A357",1,"Fibroblast"," ",13,4,3,6
5,7,"A357 P1","BOX3_N2_RACK2","N2","A357",1,"Fibroblast"," ",13,4,3,6
5,8,"A357 P1","BOX3_N2_RACK2","N2","A357",1,"Fibroblast"," ",13,4,3,6
4,8,"A392 P1","BOX11_N2_RACK2","N2","A392",1,"Fibroblast"," ",5,3,3,2
5,10,"A392 P1","BOX11_N2_RACK2","N2","A392",1,"Fibroblast"," ",5,3,3,2
4,7,"A394 P1","BOX11_N2_RACK2","N2","A394",1,"Fibroblast"," ",6,4,3,2
5,1,"A394 P1","BOX11_N2_RACK2","N2","A394",1,"Fibroblast"," ",6,4,3,2
6,1,"A4 DOLPHIN P2","BOX9._N2_RACK2","N2","A4",2,"Fibroblast"," DOLPHIN ",6,4,4,2
6,2,"A4 DOLPHIN P2","BOX9._N2_RACK2","N2","A4",2,"Fibroblast"," DOLPHIN ",6,4,4,2
4,2,"A46p2","BOX10_N2_RACK2","N2","A46",2,"Fibroblast","",5,3,4,3
4,9,"A46 muflon p2","BOX10_N2_RACK2","N2","A46",2,"Fibroblast"," muflon ",5,3,4,3
5,4,"A46p2","BOX10_N2_RACK2","N2","A46",2,"Fibroblast","",5,3,4,3
4,1,"A67 P3","BOX1_N2_RACK2","N2","A67",3,"Fibroblast"," ",6,4,3,3
1,2,"A67p3","BOX10_N2_RACK2","N2","A67",3,"Fibroblast","",6,4,3,3
6,8,"A67 p3","BOX10_N2_RACK2","N2","A67",3,"Fibroblast"," ",6,4,3,3
4,6,"A70 P3","BOX7_N2_RACK2","N2","A70",3,"Fibroblast"," ",6,4,4,3
1,9,"A70p3","BOX10_N2_RACK2","N2","A70",3,"Fibroblast","",6,4,4,3
2,5,"A70p3","BOX10_N2_RACK2","N2","A70",3,"Fibroblast","",6,4,4,3
6,5,"A8 LUTRA P2","BOX9._N2_RACK2","N2","A8",2,"Fibroblast"," LUTRA ",9,4,5,5
6,7,"A8 LUTRA P2","BOX9._N2_RACK2","N2","A8",2,"Fibroblast"," LUTRA ",9,4,5,5
6,8,"A8 LUTRA P2","BOX9._N2_RACK2","N2","A8",2,"Fibroblast"," LUTRA ",9,4,5,5
6,9,"A8 LUTRA P2","BOX9._N2_RACK2","N2","A8",2,"Fibroblast"," LUTRA ",9,4,5,5
6,10,"A8 LUTRA P2","BOX9._N2_RACK2","N2","A8",2,"Fibroblast"," LUTRA ",9,4,5,5
7,4,"A81 P2","BOX3_N2_RACK2","N2","A81",2,"Fibroblast"," ",6,5,7,2
9,1,"A81 P2","BOX8_N2_RACK2","N2","A81",2,"Fibroblast"," ",6,5,7,2
4,10,"A94 P1","BOX2_N2_RACK2","N2","A94",1,"Fibroblast"," ",5,4,4,2
