"animal_ID","sample_id","species","superclass","DNA_ex","RNA_ex","pellet","CT_total","n_passages","reps","next_step"
"A213","Cha_Cha_2","Chamaeleo chamaeleon","Reptiles",TRUE,FALSE,0,3,1,"techrep1","thaw_line"
"A173","Var_Alb_1","Varanus albigularis","Reptiles",FALSE,TRUE,1,6,2,"biorep","seq"
"A173","Var_Alb_1","Varanus albigularis","Reptiles",TRUE,TRUE,0,6,2,"biorep","seq"
"A452","Dra_Gui_1","Dracaena guianensis","Reptiles",TRUE,FALSE,0,3,1,"techrep1","thaw_line"
"A361","Cro_Rho_1","Crocodylus rhombifer","Reptiles",TRUE,FALSE,1,7,2,"techrep1","thaw_line"
"A428","Ost_Tet_1","Osteolaemus tetraspis","Reptiles",TRUE,FALSE,0,3,1,"techrep1","thaw_line"
"A312","Sci_Dub_3","Scissirostrum dubium","Birds",TRUE,FALSE,1,2,1,"techrep1","thaw_line"
"A248","Gua_Gua_1","Guaruba guarouba","Birds",FALSE,FALSE,0,2,1,"techrep1","thaw_line"
"A281","Ecl_Ror_1","Eclectus roratus","Birds",TRUE,FALSE,0,2,2,"techrep1","thaw_line"
"A329","Ano_Hya_1","Anodorhynchus hyacinthinus","Birds",FALSE,FALSE,0,3,2,"techrep1","thaw_line"
"A185","Ara_Sol_1","Aratinga solstitialis","Birds",FALSE,FALSE,0,2,1,"techrep1","thaw_line"
"A354","Eos_Ret_1","Eos reticulata","Birds",FALSE,FALSE,0,2,1,"techrep1","thaw_line"
"A362","Ara_Chl_1","Ara chloropterus","Birds",FALSE,FALSE,0,2,1,"techrep1","thaw_line"
"A441","Ara_Ara_1","Ara ararauna","Birds",FALSE,FALSE,0,4,2,"techrep1","thaw_line"
"A326","Nyc_Nyc_5","Nycticorax nycticorax","Birds",FALSE,FALSE,0,2,1,"biorep","thaw_line"
"A125","Nyc_Nyc_6","Nycticorax nycticorax","Birds",FALSE,FALSE,0,NA,NA,"biorep","thaw_line"
"A101","Cic_Cic_3","Ciconia ciconia","Birds",TRUE,FALSE,0,3,3,"techrep1","thaw_line"
"A230","Thr_Aet_1","Threskiornis aethiopicus","Birds",FALSE,FALSE,0,1,1,"techrep1","thaw_line"
"A302","Cha_Tor_1","Chauna torquata","Birds",TRUE,FALSE,0,3,2,"techrep1","thaw_line"
"A317","Cyg_Atr_1","Cygnus atratus","Birds",TRUE,FALSE,0,2,1,"techrep1","thaw_line"
"A411","Gal_Luz_3","Gallicolumba luzonica","Birds",TRUE,TRUE,1,3,2,"techrep1","seq"
"A144","Sph_Dem_1","Spheniscus demersus","Birds",FALSE,FALSE,0,2,2,"biorep","thaw_line"
"A431","Sph_Dem_3","Spheniscus demersus","Birds",TRUE,FALSE,0,3,1,"biorep","thaw_line"
"A386","Sph_Hum_2","Spheniscus humboldti","Birds",FALSE,FALSE,0,4,2,"techrep1","thaw_line"
"A250","Hal_Leu_1","Haliaeetus leucocephalus","Birds",FALSE,FALSE,0,2,1,"techrep1","thaw_line"
"A323","Col_Str_2","Colius striatus","Birds",FALSE,FALSE,0,2,2,"techrep1","thaw_line"
"A297","Gal_Gal_1","Gallus gallus","Birds",TRUE,FALSE,0,2,1,"techrep1","thaw_line"
"A325","Lop_Edw_1","Lophura edwardsi","Birds",TRUE,FALSE,1,NA,NA,"techrep1","thaw_line"
"A344","Buc_Lea_1","Bucorvus leadbeateri","Birds",FALSE,FALSE,0,2,1,"techrep1","thaw_line"
