species,species_genome,genome_match
Butorides striata,Butorides virescens,genus
Marmaronetta angustirostris,Aythya fuligula,family
Netta peposaca,Aythya fuligula,family
Netta rufina,Aythya fuligula,family
Cygnus melancoryphus,Cygnus atratus,genus
Alytes muletensis,Discoglossus pictus,family
Agalychnis callidryas,Hyla sarda,family
Apus pallidus,Apus apus,genus
Gazella dorcas,Bubalus carabanensis,family
Ammotragus lervia,Bubalus carabanensis,family
Gazella cuvieri,Bubalus carabanensis,family
Tragelaphus spekii,Tragelaphus eurycerus,genus
Bison bonasus,Bison bison,genus
Connochaetes gnou,Connochaetes taurinus,genus
Axis axis,Axis porcinus,genus
Dama dama,Muntiacus muntjak,family
Potamochoerus porcus,Phacochoerus africanus,family
Capra pyrenaica,Capra aegagrus,genus
Sargocentron diadema,Myripristis murdjan,family
Bucorvus leadbeateri,Bucorvus abyssinicus,genus
Carcharhinus amblyrhynchos,Carcharhinus longimanus,genus
Leopardus pardalis,Leopardus geoffroyi,genus
Ailurus fulgens,Ailurus styani,genus
Aonyx cinereus,Neogale vison,family
Calotriton arnoldi,Pleurodeles waltl,family
Pteropus lylei,Pteropus rufus,genus
Geronticus eremita,Theristicus caerulescens,family
Platalea leucorodia,Theristicus caerulescens,family
Plegadis falcinellus,Theristicus caerulescens,family
Eudocimus ruber,Theristicus caerulescens,family
Platalea ajaja,Theristicus caerulescens,family
Ixobrychus minutus,Egretta garzetta,family
Engraulis encrasicolus,Coilia nasus,family
Streptopelia decaocto,Streptopelia turtur,genus
Columba palumbus,Columba livia,genus
Ptilinopus melanospilus,Streptopelia turtur,family
Zenaida graysoni,Streptopelia turtur,family
Gallicolumba luzonica,Streptopelia turtur,family
Dacelo novaeguineae,Todiramphus chloris,family
Paleosuchus palpebrosus,Caiman crocodilus,family
Crocodylus rhombifer,Crocodylus porosus,genus
Osteolaemus tetraspis,Crocodylus porosus,family
Musophaga violacea,Corythaixoides concolor,family
Tauraco leucotis,Tauraco erythrolophus,genus
Notamacropus rufogriseus,Notamacropus eugenii,genus
Petrogale xanthopus,Notamacropus eugenii,family
Osphranter rufus,Notamacropus eugenii,family
Lophura edwardsi,Lophura swinhoii,genus
Polyplectron napoleonis,Gallus gallus,family
Gallinula chloropus,Hypotaenidia okinawae,family
Balearica pavonina,Balearica regulorum,genus
Scissirostrum dubium,Acridotheres tristis,family
Ficedula hypoleuca,Ficedula albicollis,genus
Chloris chloris,Haemorhous mexicanus,family
Delichon urbicum,Hirundo rustica,family
Carduelis carduelis,Haemorhous mexicanus,family
Lanius senator,Lanius collurio,genus
Cyanocorax yncas,Corvus hawaiiensis,family
Diplodus vulgaris,Diplodus sargus,genus
Equus ferus,Equus quagga,genus
Phoenicopterus roseus,Phoenicopterus ruber,genus
Ramphastos toco,Ramphastos sulfuratus,genus
Trachyphonus erythrocephalus,Pogoniulus pusillus,family
Callithrix geoffroyi,Callithrix jacchus,genus
Saguinus oedipus,Saguinus midas,genus
Miopithecus ogouensis,Miopithecus talapoin,genus
Cercocebus torquatus,Cercocebus atys,genus
Papio cynocephalus,Papio anubis,genus
Hylobates muelleri,Hylobates pileatus,genus
Macaca sylvanus,Macaca cyclopis,genus
Cebuella pygmaea,Saguinus midas,family
Leontopithecus chrysomelas,Leontopithecus rosalia,genus
Hylobates lar,Hylobates pileatus,genus
Callimico goeldii,Saguinus midas,family
Trichoglossus moluccanus,Trichoglossus euteles,genus
Agapornis nigrigenis,Agapornis roseicollis,genus
Eos reticulata,Eos semilarvata,genus
Amazona brasiliensis,Amazona aestiva,genus
Eliomys quercinus,Muscardinus avellanarius,family
Cynomys ludovicianus,Ictidomys tridecemlineatus,family
Chamaeleo chamaeleon,Furcifer pardalis,family
Varanus albigularis,Varanus salvator,genus
Uromastyx acanthinura,Phrynocephalus forsythii,family
Varanus prasinus,Varanus salvator,genus
Python regius,Python bivittatus,genus
Lampropeltis triangulum,Ahaetulla prasina,family
Corucia zebrata,Plestiodon gilberti,family
Python breitensteini,Python bivittatus,genus
Dracaena guianensis,Aspidoscelis tigris,family
Acrantophis dumerili,Charina bottae,family
Chlamydosaurus kingii,Phrynocephalus forsythii,family
Otus scops,Otus sunia,genus
Strix aluco,Strix occidentalis,genus
Hippocampus reidi,Hippocampus zosterae,genus
Terrapene nelsoni,Terrapene carolina,genus
Stigmochelys pardalis,Gopherus flavomarginatus,family
Testudo hermanni,Gopherus flavomarginatus,family
Heosemys spinosa,Mauremys mutica,family
Macrochelys temminckii,Chelydra serpentina,family
Graptemys pseudogeographica,Emys orbicularis,family
Scyliorhinus stellaris,Scyliorhinus canicula,genus
