"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","genome_size","genome_size_draft","c_value","chromosome_number","haploid_number","assembly_level","assembly_span","assembly_date","contig_n50","scaffold_n50","chromosome_count","busco_completeness","gene_count","sequencing_status","published","TOGA_species","common_name","ploidy","refseq","ensembl","genome_match","ref_genome","divergence_mya_adj","taxon_id_ref","precomputed_age","adjusted_age","toga_assembly_name_ref","TOGA_ref","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","silencer","illumina","tetrapod","selected","project","TOGA","annotation_level","fibro2","to_process","order2"
"Pleurodeles waltl","Pleurodeles waltl",NA,NA,NA,"NEAR THREATENED",2,"U","Amphibia","Fibro",NA,"X",NA,"X",NA,NA,"larvae/Trachea",NA,"Pleurodeles_waltl","8319","Pleurodeles waltlii","aPleWal","GCA_031143425.1",NA,"GCA_031143425.1","GCF_031143425.1","Pleurodeles","Salamandridae","Caudata","Amphibia","Chordata","Metazoa","Eukaryota",20929200000,NA,21.40625,24,12,"Chromosome",19767450834,"2024-03-19",20474000,1360680797,16,NA,13359,"insdc_open",NA,"not_in_toga","Sharp-ribbed Salamander,list(""common_name"")",2,TRUE,FALSE,"species","Pleurodeles waltl",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,2,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"refseq",1,1,"Other"
"Lissotriton helveticus","Lissotriton helveticus",NA,NA,NA,"LEAST CONCERN",1,"U","Amphibia","Fibro",NA,NA,NA,NA,NA,NA,"Tail",NA,"Lissotriton_helveticus","256425","Lacerta helvetica; Triturus helveticus; Lacerta paradoxa helvetica; Salamandra palmata; Salamandra palmipes","aLisHel","GCA_964261635.1",NA,"GCA_964261635.1","GCF_964261635.1","Lissotriton","Salamandridae","Caudata","Amphibia","Chordata","Metazoa","Eukaryota",25760520000,NA,26.34375,24,12,"Chromosome",23170028842,"2024-10-17",7795245,2132484007,17,93,NA,"insdc_open",NA,"not_in_toga","Palmate Newt,list(""common_name"")",2,TRUE,FALSE,"species","Lissotriton helveticus",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,2,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"refseq",1,1,"Other"
"Xenopus laevis","Xenopus laevis",NA,NA,NA,"LEAST CONCERN",1,NA,"Amphibia","Fibro",NA,"X",NA,"X",NA,NA,"Skin/liver/heart/muscle/eye",NA,"Xenopus_laevis","8355","Bufo laevis","aXenLae","GCA_017654675.1",NA,"GCA_017654675.1","GCF_017654675.1","Xenopus","Pipidae","Anura","Amphibia","Chordata","Metazoa","Eukaryota",3080700000,NA,3.150390625,36,18,"Chromosome",2742451793,"2021-04-12",22451507,155250555,18,NA,45942,"insdc_open",NA,"not_in_toga","African Clawed Frog,list(""common_name"")",2,TRUE,FALSE,"species","Xenopus laevis",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,5,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"refseq",1,1,"Anura"
"Xenopus tropicalis","Xenopus tropicalis",NA,NA,NA,"LEAST CONCERN",1,NA,"Amphibia","Fibro",NA,NA,NA,NA,NA,NA,"Skin/liver/heart/muscle/eye",NA,"Xenopus_tropicalis","8364","Silurana tropicalis; Xenopus laevis tropicalis; Xenopus (Silurana) tropicalis","aXenTro","GCA_000004195.4",NA,"GCA_000004195.4","GCF_000004195.4","Xenopus","Pipidae","Anura","Amphibia","Chordata","Metazoa","Eukaryota",1701720000,NA,1.740234375,20,10,"Chromosome",1451283599,"2019-11-14",14634335,153961319,10,88.5,25015,"insdc_open",NA,"not_in_toga","Tropical Clawed Frog,list(""common_name"")",2,TRUE,TRUE,"species","Xenopus tropicalis",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"refseq/ensembl",1,1,"Anura"
"Discoglossus pictus","Discoglossus pictus",NA,NA,NA,"LEAST CONCERN",1,"U","Amphibia","Fibro",NA,"x","x",NA,NA,NA,"Fingertips/Tail",NA,"Discoglossus_pictus","8351","Pseudes pictus; Rana picta; Colodactylus coerulescens","aDisPic","GCA_027410445.1",NA,"GCA_027410445.1",NA,"Discoglossus","Alytidae","Anura","Amphibia","Chordata","Metazoa","Eukaryota",5134500000,NA,5.25,28,14,"Chromosome",3872581802,"2022-12-28",3043591,453717995,14,NA,23770,"insdc_open",NA,"not_in_toga","Painted Frog,list(""common_name"")",2,FALSE,FALSE,"species","Discoglossus pictus",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,TRUE,2,0,1,0,0,TRUE,5,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Anura"
"Epidalea calamita","Epidalea calamita",NA,NA,NA,"LEAST CONCERN",1,"U","Amphibia","Fibro",NA,"x","x",NA,NA,NA,"Fingertips",NA,"Epidalea_calamita","30326","Bufo calamita; Bufo cruciatus; Bufo cursor; Rana ecaudata; Rana fetidissima; Rana mephitica; Rana portentosa","aEpiCal","GCA_978041865.1",NA,"GCA_978041865.1",NA,"Epidalea","Bufonidae","Anura","Amphibia","Chordata","Metazoa","Eukaryota",4166280000,NA,4.26171875,22,11,"Chromosome",3713514387,"2026-01-23",16129957,467214536,11,95.9,NA,"insdc_open",NA,"not_in_toga","Natterjack Toad,list(""common_name"")",2,FALSE,FALSE,"species","Epidalea calamita",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,5,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Anura"
"Leptodactylus fallax","Leptodactylus fallax",NA,NA,NA,"CRITICALLY ENDANGERED",1,"M","Amphibia","Fibro",NA,NA,NA,NA,NA,NA,"Muscle / skin / heart",NA,"Leptodactylus_fallax","375434","Leptodactylus dominicensis","aLepFal","GCA_947044405.1",NA,"GCA_947044405.1",NA,"Leptodactylus","Leptodactylidae","Anura","Amphibia","Chordata","Metazoa","Eukaryota",3141825000,NA,3.212890625,22,11,"Scaffold",2510271426,"2022-10-08",4630249,4630249,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Leptodactylus fallax",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,5,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Anura"
"Crocodylus rhombifer","Crocodylus rhombifer",NA,NA,"I","CRITICALLY ENDANGERED",1,"F","Reptil","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Crocodylus_rhombifer","184239","Crocodilus rhombifer; Crocodilus gravesii; Crocodilus planirostris; Crocodilus pristinus; Crocodylus antillensis; Crocodylus pristinus","rCroRho","GCA_038503035.1",NA,"GCA_038503035.1",NA,"Crocodylus","Crocodylidae","Crocodylia",NA,"Chordata","Metazoa","Eukaryota",2777520000,NA,2.83984375,30,15,"Scaffold",2305509932,"2024-04-26",99156,478168,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Crocodylus rhombifer",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,1,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",FALSE,"no_annotation",1,1,"Other"
"Aldabrachelys gigantea","Aldabrachelys gigantea",NA,NA,"II","VULNERABLE",2,"U/U","Reptil","Fibro",NA,"X","X","X","X",NA,"Tissue (trachea)","Geochelone gigantea","Aldabrachelys_gigantea","167804","Aldabrachelys dussumieri; Aldabrachelys elephantina; Dipsochelys dussumieri; Geochelone gigantea; Testudo gigantea; Aldabrachelys gigantea gigantea; Dipsochelys daudinii; Geochelone dussumieri; Megalochelys gigantea; Testudo daudinii; Testudo dussumieri; Testudo elephantina; Testudo gigantea daudinii; Testudo gouffei; Testudo hololissa; Testudo indica; Testudo ponderosa; Testudo sumeirei","rAldGig","GCA_026122505.1",NA,"GCA_026122505.1",NA,"Aldabrachelys","Testudinidae","Testudines",NA,"Chordata","Metazoa","Eukaryota",2889990000,NA,2.955078125,52,26,"Chromosome",2373354137,"2022-11-15",58656949,148569599,26,NA,NA,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Aldabrachelys gigantea",1e-4,NA,NA,NA,"HLaldGiga1","toga2",FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,1,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",1,1,"Other"
"Varanus albigularis","Varanus albigularis",NA,NA,"II","LEAST CONCERN",1,"F","Reptil","Fibro",NA,"X","X",NA,"X",NA,"Tissue",NA,"Varanus_albigularis","8558","Tupinambis albigularis; Varanus exanthematicus albigularis; Monitor albigularis; Varanus albogularis; Varanus gilli; Varanus microstictus","rVarAlb","GCA_043656425.1",NA,"GCA_043656425.1",NA,"Varanus","Varanidae","Squamata","Lepidosauria","Chordata","Metazoa","Eukaryota",2009790000,NA,2.0546875,40,20,"Scaffold",1660173986,"2024-10-23",9422,14924,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Varanus albigularis",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",FALSE,"no_annotation",1,1,"Squamata"
"Caribicus warreni","Caribicus warreni",NA,NA,NA,"VULNERABLE",2,"M/M","Reptil","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Caribicus_warreni","865857","Celestus warreni; Diploglossus warreni; Celestus warreni warreni","rCelWar",NA,NA,NA,NA,"Caribicus","Diploglossidae","Squamata","Lepidosauria","Chordata","Metazoa","Eukaryota",1515900000,NA,1.5498046875,36,18,NA,1972188884,NA,NA,NA,NA,NA,NA,NA,NA,"not_in_toga",NA,2,FALSE,FALSE,"none","none",1e-4,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,2,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Squamata"
"Malpolon monspessulanus","Malpolon monspessulanus",NA,NA,NA,"LEAST CONCERN",3,"U/F","Reptil","Fibro",NA,"X",NA,NA,NA,NA,NA,NA,"Malpolon_monspessulanus","184164","Coluber monspessulanus; Coelopeltis insignitus; Coelopeltis lacertina; Coelopeltis monspessulana; Coelopeltis monspessulanus; Coelopeltis monspessulanus occidentalis; Coluber insignitus; Coluber monspeliensis; Malpolon monspessulana; Malpolon monspessulanus fuscus; Natrix lacertina; Psammophis lacertina; Rhabdodon fuscus","rMalMon","GCA_964265115.1",NA,"GCA_964265115.1",NA,"Malpolon","Lamprophiidae","Squamata","Lepidosauria","Chordata","Metazoa","Eukaryota",1476780000,NA,1.509765625,42,21,"Chromosome",1752149986,"2024-09-25",32743049,121923953,23,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Malpolon monspessulanus",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,4,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Squamata"
"Pantherophis guttatus","Pantherophis guttatus",NA,NA,NA,"LEAST CONCERN",1,"U","Reptil","Fibro",NA,"X",NA,"X",NA,NA,"Kidney",NA,"Pantherophis_guttatus","94885","Coluber guttatus; Elaphe guttata; Callopeltis guttatus; Coluber carolinianus; Coluber compressus; Coluber floridanus; Coluber guttatus sellatus; Coluber maculatus; Coluber molossus; Coluber pantherinus; Coluber rosaceus; Coryphodon pantherinus; Elaphe emoryi intermontana; Elaphe guttata guttata; Elaphe laeta; Elaphe laeta laeta; Elaphis guttatus; Pantherophis guttata; Pituophis guttatus; Scotophis guttatus; Scotophis laetus; Siphlophis compressus; Tripanurgos compressus","rPanGut","GCA_029531705.1",NA,"GCA_029531705.1","GCF_029531705.1","Pantherophis","Colubridae","Squamata","Lepidosauria","Chordata","Metazoa","Eukaryota",2127150000,NA,2.17578125,36,18,"Scaffold",1708105946,"2023-03-31",3031475,63228677,NA,25.6,25732,"insdc_open",NA,"not_in_toga",NA,2,TRUE,FALSE,"species","Pantherophis guttatus",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"refseq",1,1,"Squamata"
"Ctenosaura bakeri","Ctenosaura bakeri",NA,NA,NA,"CRITICALLY ENDANGERED",1,NA,"Reptil","Fibro",NA,"X",NA,"X",NA,NA,"Kidney",NA,"Ctenosaura_bakeri","500334","Enyaliosaurus bakeri","rCteBak","GCA_948474755.1",NA,"GCA_948474755.1",NA,"Ctenosaura","Iguanidae","Squamata","Lepidosauria","Chordata","Metazoa","Eukaryota",2601480000,NA,2.66015625,36,18,"Contig",1915228381,"2023-02-03",444732,444732,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Ctenosaura bakeri",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Squamata"
"Chlamydosaurus kingii","Chlamydosaurus kingii",NA,NA,"-","LEAST CONCERN",3,"F/M/F","Reptil","Fibro",NA,NA,NA,NA,NA,NA,NA,NA,"Chlamydosaurus_kingii","103699","Chlamydosaurus kingi; Chlamydosaurus kingii mickpughi; Chlamydosaurus kingii pughae; Clamydosaurus kingii","rChlKin","GCA_054924195.1",NA,"GCA_054924195.1",NA,"Chlamydosaurus","Agamidae","Squamata","Lepidosauria","Chordata","Metazoa","Eukaryota",1819080000,NA,1.8603515625,32,16,"Scaffold",1724601365,"2026-02-04",10332,17029,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Chlamydosaurus kingii",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,5,0,1,0,0,TRUE,6,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",FALSE,"no_annotation",1,1,"Squamata"
"Ciconia ciconia","Ciconia ciconia",NA,NA,"II","LEAST CONCERN",3,"U/U/U","Birds","Fibro","X","X",NA,"X",NA,NA,"Tissue",NA,"Ciconia_ciconia","8928","Ardea ciconia","bCicCic","GCA_977020515.1",NA,"GCA_977020515.1",NA,"Ciconia","Ciconiidae","Ciconiiformes","Aves","Chordata","Metazoa","Eukaryota",1545240000,NA,1.580078125,68,34,"Scaffold",1191978714,"2025-11-10",1841595,109997596,NA,NA,NA,"insdc_open",NA,"toga2","White stork,list(""common_name"")",2,FALSE,FALSE,"species","Ciconia ciconia",1e-4,NA,NA,NA,"HLcicCico1","toga2",FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,1,"Both",1,FALSE,TRUE,FALSE,TRUE,"illumina",TRUE,"TOGA",1,1,"Other"
"Colius striatus","Colius striatus",NA,NA,"-","LEAST CONCERN",2,"U/M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea",NA,"Colius_striatus","57412",NA,"bColStr","GCA_028858625.2",NA,"GCA_028858625.2",NA,"Colius","Coliidae","Coliiformes","Aves","Chordata","Metazoa","Eukaryota",1437660000,NA,1.4697265625,78,39,"Chromosome",1153503718,"2023-02-24",21724867,59190243,29,83.7,12892,"insdc_open",NA,"toga1/2",NA,2,TRUE,FALSE,"species","Colius striatus",1e-4,NA,NA,NA,"HLcolStr2","toga1/2",FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,1,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA/refseq",1,1,"Other"
"Apus apus","Apus apus",NA,NA,"?","LEAST CONCERN",1,NA,"Birds","Fibro",NA,NA,NA,NA,NA,NA,NA,NA,"Apus_apus","8895","Hirundo apus; Cypselus apus","bApuApu","GCA_020740795.1",NA,"GCA_020740795.1","GCF_020740795.1","Apus","Apodidae","Apodiformes","Aves","Chordata","Metazoa","Eukaryota",1251840000,NA,1.2802734375,78,39,"Chromosome",1100361224,"2021-11-04",25561769,115508478,31,NA,NA,"insdc_open",NA,"toga2","Common swift,list(""common_name"")",2,TRUE,FALSE,"species","Apus apus",1e-4,NA,NA,NA,"HLapuApu1","toga2",FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,1,"Both",1,FALSE,TRUE,FALSE,TRUE,"illumina",TRUE,"TOGA/refseq",1,1,"Other"
"Bucorvus leadbeateri","Bucorvus leadbeateri",NA,NA,"-","VULNERABLE",1,"U","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Trachea",NA,"Bucorvus_leadbeateri","155086","Buceros leadbeateri; Bucorvus cafer; Bucorvus leadbeateri cafer","bBucLea","GCA_042477495.1",NA,"GCA_042477495.1",NA,"Bucorvus","Bucorvidae","Bucerotiformes","Aves","Chordata","Metazoa","Eukaryota",1398540000,NA,1.4296875,88,44,"Chromosome",1159150851,"2024-10-03",574159,40451533,41,NA,NA,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Bucorvus leadbeateri",1e-4,NA,NA,NA,"HLbucLead1","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Other"
